,ISO3_Code,Country_Name,M49_Code,Year,Life_Expectancy,Mean_Years_Of_Schooling,CPI_Food,Net_FDI,Prevalence_of_undernourishment,GNI,Population,Govt_Expenditure
0,AFG,Afghanistan,4.0,2016,63.1361,2.463660385,108.916832,78.81,22.2,18199.126228,34636.207,9299.08934
1,AFG,Afghanistan,4.0,2017,63.016,2.561424686,113.832502,42.59,23.0,19145.017021,35643.418,9095.510866
2,AFG,Afghanistan,4.0,2018,63.081,2.659188987,113.490296,78.91,24.0,18610.25735,36686.784,
3,AFG,Afghanistan,4.0,2019,63.5645,2.756953288,119.067918,12.586666,26.9,19205.244293,37769.499,
4,AFG,Afghanistan,4.0,2020,62.5751,2.854717589,128.002089,-24.142135,29.8,19982.204387,38972.23,
5,ALB,Albania,8.0,2016,78.8602,10.72752833,104.588667,1036.471408,4.7,12053.991102,2881.063,3428.258517
6,ALB,Albania,8.0,2017,79.0473,10.91069206,107.497139,1122.69405,4.7,13051.517242,2879.355,3805.99134
7,ALB,Albania,8.0,2018,79.1838,11.09698316,110.638289,1207.129445,4.6,15137.999954,2877.013,4355.901378
8,ALB,Albania,8.0,2019,79.2825,11.28645502,113.430423,1160.122963,4.3,15198.655753,2873.883,4446.43145
9,ALB,Albania,8.0,2020,76.9893,11.28645502,116.338895,1017.126096,3.9,14651.156758,2866.849,4907.063967
10,DZA,Algeria,12.0,2016,75.7318,7.877038634,105.435418,1590.096852,2.8,158864.842969,40339.329,
11,DZA,Algeria,12.0,2017,75.7428,7.940606186,111.015653,1260.947166,2.7,167910.128603,41136.546,
12,DZA,Algeria,12.0,2018,76.0656,8.004686727,110.86839,620.816595,1.5,171267.305185,41927.007,
13,DZA,Algeria,12.0,2019,76.4742,8.069284397,110.615938,1350.821964,1.5,167258.300287,42705.368,
14,DZA,Algeria,12.0,2020,74.4528,8.069284397,113.340313,1109.896337,1.5,144323.52615,43451.666,
15,AGO,Angola,24.0,2016,61.0923,5.417390823,154.136774,-452.522619,15.4,95893.926423,29154.746,32870.63356
16,AGO,Angola,24.0,2017,61.6798,5.417390823,183.757815,-8749.300466,15.4,114534.316867,30208.628,41011.564
