Series Name,Series Code,Country Name,Country Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Access to electricity (% of population),EG.ELC.ACCS.ZS,Afghanistan,AFG,97.69999695,97.69999695,96.61613464,97.69999695,97.69999695
Access to electricity (% of population),EG.ELC.ACCS.ZS,Albania,ALB,99.88999939,99.88999939,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Algeria,DZA,99.35025024,99.63549042,99.69783783,99.5,99.80413055
Access to electricity (% of population),EG.ELC.ACCS.ZS,American Samoa,ASM,..,..,..,..,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Andorra,AND,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Angola,AGO,41.81312943,43.01325989,45.29000092,45.64279938,46.89060974
Access to electricity (% of population),EG.ELC.ACCS.ZS,Antigua and Barbuda,ATG,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Argentina,ARG,99.84957886,100,99.98957825,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Armenia,ARM,99.80000305,99.69999695,99.90000153,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Aruba,ABW,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Australia,AUS,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Austria,AUT,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Azerbaijan,AZE,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,"Bahamas, The",BHS,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Bahrain,BHR,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Bangladesh,BGD,75.91999817,88,91.80000305,92.19999695,96.19999695
Access to electricity (% of population),EG.ELC.ACCS.ZS,Barbados,BRB,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Belarus,BLR,100,100,100,100,100
