Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","004","Afghanistan","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","103.618233","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","103.967168","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","104.236245","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","104.779901","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","104.226511","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","104.808678","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","105.922016","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","106.205681","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","106.567225","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","106.861882","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","108.06266","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","108.916832","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","108.52005","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","108.701492","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","114.689456","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","114.595556","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","115.40368","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","116.211191","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","113.711408","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","112.432266","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","112.298027","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","112.670435","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","113.102032","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","113.832502","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","114.527725","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","113.437296","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","112.827883","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","111.659316","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","111.214302","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","110.406413","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","109.761771","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","109.569272","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","110.133214","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","111.711655","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","112.497627","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","113.490296","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","114.054183","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","113.597099","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","115.785785","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","117.371378","X","Figure from international organizations","base year is 2015"
