Country,ISO3,Region,CPI score 2020,Rank 2020,Sources 2020,Standard error 2020,CPI score 2019,Rank 2019,Sources 2019,Standard error 2019,CPI score 2018,Rank 2018,Sources 2018,Standard error 2018,CPI score 2017,Rank 2017,Sources 2017,Standard error 2017,CPI score 2016,Sources 2016,Standard error 2016
Denmark,DNK,WE/EU,88,1,8,1.78,87,1,8,2.54,88,1,8,2.63,88,2,8,2.75,90,7,2.46
New Zealand,NZL,AP,88,1,8,1.48,87,1,8,2.29,87,2,8,2.44,89,1,8,2.4,90,7,2.56
Finland,FIN,WE/EU,85,3,8,1.75,86,3,8,2.92,85,3,8,2.74,85,3,8,2.84,89,7,1.46
Singapore,SGP,AP,85,3,9,1.2,85,4,9,2.05,85,3,9,1.98,84,6,9,2.26,84,8,2.35
Sweden,SWE,WE/EU,85,3,8,1.3,85,4,8,1.98,85,3,8,2.02,84,6,8,2.27,88,7,1.33
Switzerland,CHE,WE/EU,85,3,7,1.1,85,4,7,1.58,85,3,7,1.57,85,3,7,1.71,86,6,1.57
Norway,NOR,WE/EU,84,7,7,1.26,84,7,7,1.65,84,7,8,2.14,85,3,8,1.83,85,7,1.85
Netherlands,NLD,WE/EU,82,8,8,1.44,82,8,8,2.25,82,8,8,2.3,82,8,8,2.23,83,7,2.32
Germany,DEU,WE/EU,80,9,8,2,80,9,8,3.31,80,11,8,2.49,81,12,8,1.87,81,7,2.73
Luxembourg,LUX,WE/EU,80,9,7,1.5,80,9,7,1.95,81,9,7,2.32,82,8,6,2.08,81,6,1.96
Australia,AUS,AP,77,11,9,1.05,77,12,9,1.32,77,13,9,1.27,77,13,9,1.4,79,8,1.27
Canada,CAN,AME,77,11,8,1.77,77,12,8,2.8,81,9,8,2.16,82,8,8,1.49,82,7,2.03
Hong Kong,HKG,AP,77,11,8,1.79,76,16,8,3.15,76,14,8,2.47,77,13,7,2.37,77,7,2.62
United Kingdom,GBR,WE/EU,77,11,8,2.2,77,12,8,3.34,80,11,8,2.03,82,8,8,1.7,81,7,2.12
Austria,AUT,WE/EU,76,15,8,0.67,77,12,8,1.57,76,14,8,1.37,75,16,8,1.17,75,7,1.36
Belgium,BEL,WE/EU,76,15,7,1.05,75,17,7,1.09,75,17,8,1.09,75,16,8,1.63,77,7,1.55
Estonia,EST,WE/EU,75,17,10,0.87,74,18,10,1.21,73,18,10,1.44,71,21,10,2.21,70,10,2.16
Iceland,ISL,WE/EU,75,17,7,3.86,78,11,7,4.63,76,14,7,4.33,77,13,7,4.38,78,6,3.81
Japan,JPN,AP,74,19,9,2.02,73,20,9,3.51,73,18,9,2.85,73,20,9,2.66,72,8,3.02
Ireland,IRL,WE/EU,72,20,7,2.15,74,18,7,3.61,73,18,7,3.25,74,19,7,3.68,73,6,4.31
United Arab Emirates,ARE,MENA,71,21,8,3.23,71,21,8,5.13,70,23,8,4.56,71,21,7,6.26,66,7,5.7
Uruguay,URY,AME,71,21,7,1.72,71,21,7,2.47,70,23,7,2.73,70,23,7,2.67,71,6,2.68
France,FRA,WE/EU,69,23,8,1.4,69,23,8,2.28,72,21,8,1.17,70,23,8,1.36,69,7,2.97
Bhutan,BTN,AP,68,24,4,2.39,68,25,4,2.76,68,25,4,2.86,67,26,5,1.83,65,5,2.12
Chile,CHL,AME,67,25,9,1.23,67,26,9,2.55,67,27,9,1.88,67,26,9,2.03,66,8,2.65
United States of America,USA,AME,67,25,9,2.49,69,23,9,4.12,71,22,9,3.25,75,16,9,3.24,74,9,3.15
