Country Name,Country Code,Series Name,Series Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2596050086.4,2751986638.9,2678760424.2,2661685956.5,3036369312.4
Albania,ALB,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,8516222980.3,9801454504.1,9875849866.7,9556855648.5,10859239096.8
Algeria,DZA,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,5462929063.8,5706735537.1,5710413690,5492302707.3,5178215526
American Samoa,ASM,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..
Andorra,AND,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..
Angola,AGO,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,57827339857.2,59175902494.2,63217528196.5,64446155980,67286794415.2
Antigua and Barbuda,ATG,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..
Argentina,ARG,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,181638508190.7,225925335186.1,277827278079.2,281723792002.3,253760056780.7
Armenia,ARM,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,9855623087.1,10228295738.5,10725730268.9,11884488146.3,13093864395.5
Aruba,ABW,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..
Australia,AUS,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..
Austria,AUT,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..
Azerbaijan,AZE,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,14590007638.9,15300924031.7,16211029569.5,15840362634.9,15811923784.2
"Bahamas, The",BHS,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..
Bahrain,BHR,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..
Bangladesh,BGD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,38480571897.7,46819123464.6,52138401714,57094167969.9,67749043920.7
Barbados,BRB,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..
Belarus,BLR,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,37515947697.5,39584221158.1,38767563257,40734118642.4,42491219492.3
Belgium,BEL,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..
Belize,BLZ,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,1290298702.5,1338924309.2,1348898447.4,1377529086.7,1526004210.8
Benin,BEN,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2258065494.5,2794440257.3,3585946329.5,3877755764.1,5250479649.2
Bermuda,BMU,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..
Bhutan,BTN,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2289670352.4,2607949876.9,2551977085,2703804731.6,2868979841.7
Bolivia,BOL,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,10994252972.4,12990057752.2,13248377783.1,14301150537.3,15421072053.6
Bosnia and Herzegovina,BIH,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,11630871769.5,13028529320.1,13253889164,13231145802.7,14263489883.9
Botswana,BWA,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2126448971.8,1741386786.6,1782037130.2,1565096393.6,1597427934.6
Brazil,BRA,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,543257228545.3,543000326110.9,557742529191.2,568645874141.1,549234311520.2
British Virgin Islands,VGB,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..
Brunei Darussalam,BRN,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..
Bulgaria,BGR,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,39994027753.1,40989144703.6,40103457338.4,40501402414.8,43347397245.2
Burkina Faso,BFA,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2863797381.9,3166766915.9,3317745777.5,3686905203.1,4494781776.5
Burundi,BDI,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,602774776.7,606820362.7,584975019,593889381.1,625985283.6
Cabo Verde,CPV,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,1551733555.5,1789970312.7,1767451777.7,1821219111.3,2069786254.3
Cambodia,KHM,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,10059535399.9,11425279074.2,13532957757.7,15329443357.1,17562061636.9
Cameroon,CMR,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,7890233642.2,10073207229.5,10925807437.9,12849396624.9,13863899165.5
Canada,CAN,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..
Cayman Islands,CYM,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..
Central African Republic,CAF,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,735399666.2,762760558.8,824970472.8,887586414.7,935630034
Chad,TCD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2867303800.8,3123892175.3,3242639042.8,3313206994.2,3654297383.4
Channel Islands,CHI,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..
Chile,CHL,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..
China,CHN,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,1413804345434.8,1704516192888.5,1961528186354.2,2114162881662.2,2349388621678.4
Colombia,COL,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,120658527944.8,125769055081.7,132964924337.9,138625436538.7,155171767040.5
Comoros,COM,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,179966571.8,186606215,244985939.8,265687364.9,301131309.5
"Congo, Dem. Rep.",COD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,5021565632.4,5083895441.8,4955691893.5,5617843790.1,6137246433.1
"Congo, Rep.",COG,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,4874543671.1,5513707790.3,5220894528,5379079715.6,5253134974.2
Costa Rica,CRI,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,25562670955.2,25615909360.8,28369279758.1,29800758229,31287627814.7
Cote d'Ivoire,CIV,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,11457186653.5,13449134231.4,16184569403.8,19816398560.3,25072693104
Croatia,HRV,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..
Cuba,CUB,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..
Curacao,CUW,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..
