Country Name,Country Code,Series Name,Series Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.8,4.633,4.473,4.321,4.176
Albania,ALB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.659,1.638,1.617,1.597,1.58
Algeria,DZA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.052,3.045,3.023,2.988,2.942
American Samoa,ASM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,..,..,..,..,..
Andorra,AND,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,..,..,..,..,..
Angola,AGO,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.686,5.6,5.519,5.442,5.371
Antigua and Barbuda,ATG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.003,1.999,1.994,1.987,1.978
Argentina,ARG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.288,2.275,2.261,2.247,2.233
Armenia,ARM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.744,1.75,1.755,1.758,1.76
Aruba,ABW,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.872,1.886,1.896,1.901,1.901
Australia,AUS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.752,1.741,1.74,1.657,1.581
Austria,AUT,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.53,1.52,1.47,1.46,1.44
Azerbaijan,AZE,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.9,1.75,1.73,1.81,1.7
"Bahamas, The",BHS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.771,1.762,1.752,1.743,1.733
Bahrain,BHR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.033,2.01,1.987,1.964,1.942
Bangladesh,BGD,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.09,2.062,2.036,2.011,1.987
Barbados,BRB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.613,1.615,1.619,1.623,1.628
Belarus,BLR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.733,1.541,1.448,1.382,1.382
Belgium,BEL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.68,1.65,1.62,1.6,1.55
Belize,BLZ,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.391,2.346,2.307,2.274,2.246
Benin,BEN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.977,4.906,4.836,4.767,4.7
Bermuda,BMU,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.4,1.4,1.3,1.3,1.3
Bhutan,BTN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.014,1.994,1.975,1.954,1.931
Bolivia,BOL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.829,2.777,2.73,2.688,2.651
Bosnia and Herzegovina,BIH,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.286,1.276,1.265,1.254,1.243
Botswana,BWA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.942,2.91,2.874,2.836,2.796
Brazil,BRA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.747,1.739,1.73,1.719,1.706
British Virgin Islands,VGB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,..,..,..,..,..
Brunei Darussalam,BRN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.915,1.881,1.848,1.819,1.796
Bulgaria,BGR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.54,1.56,1.56,1.58,1.56
Burkina Faso,BFA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.353,5.271,5.189,5.109,5.029
Burundi,BDI,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.599,5.502,5.41,5.321,5.237
Cabo Verde,CPV,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.346,2.309,2.274,2.242,2.213
Cambodia,KHM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.559,2.53,2.503,2.478,2.453
Cameroon,CMR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.708,4.639,4.572,4.506,4.443
Canada,CAN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.59,1.54,1.5,1.47,1.4
Cayman Islands,CYM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,..,..,..,..,..
Central African Republic,CAF,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.87,4.796,4.721,4.645,4.568
Chad,TCD,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.947,5.846,5.747,5.649,5.553
Channel Islands,CHI,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.527,1.516,1.51,1.509,1.512
Chile,CHL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.713,1.678,1.649,1.627,1.611
China,CHN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.675,1.683,1.69,1.696,1.7
Colombia,COL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.843,1.825,1.807,1.789,1.771
Comoros,COM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.347,4.275,4.205,4.138,4.073
"Congo, Dem. Rep.",COD,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.112,6.017,5.919,5.819,5.718
"Congo, Rep.",COG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.536,4.482,4.428,4.374,4.321
Costa Rica,CRI,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.789,1.772,1.754,1.737,1.721
Cote d'Ivoire,CIV,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.759,4.704,4.649,4.593,4.536
Croatia,HRV,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.43,1.42,1.47,1.47,1.48
Cuba,CUB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.656,1.637,1.618,1.602,1.59
Curacao,CUW,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.7,1.5,1.7,1.6,1.6
Cyprus,CYP,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.345,1.337,1.329,1.321,1.313
Czechia,CZE,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.63,1.69,1.71,1.71,1.71
Denmark,DNK,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.79,1.75,1.73,1.7,1.67
Djibouti,DJI,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.846,2.785,2.728,2.676,2.627
