Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
MK,Macro Indicators,004,Afghanistan,6110,Value US$,22011,Gross National Income,2016,2016,millions,18199.126228,X,Figure from international organizations,
MK,Macro Indicators,004,Afghanistan,6110,Value US$,22011,Gross National Income,2017,2017,millions,19145.017021,X,Figure from international organizations,
MK,Macro Indicators,004,Afghanistan,6110,Value US$,22011,Gross National Income,2018,2018,millions,18610.25735,X,Figure from international organizations,
MK,Macro Indicators,004,Afghanistan,6110,Value US$,22011,Gross National Income,2019,2019,millions,19205.244293,X,Figure from international organizations,
MK,Macro Indicators,004,Afghanistan,6110,Value US$,22011,Gross National Income,2020,2020,millions,19982.204387,X,Figure from international organizations,
MK,Macro Indicators,008,Albania,6110,Value US$,22011,Gross National Income,2016,2016,millions,12053.991102,X,Figure from international organizations,
MK,Macro Indicators,008,Albania,6110,Value US$,22011,Gross National Income,2017,2017,millions,13051.517242,X,Figure from international organizations,
MK,Macro Indicators,008,Albania,6110,Value US$,22011,Gross National Income,2018,2018,millions,15137.999954,X,Figure from international organizations,
MK,Macro Indicators,008,Albania,6110,Value US$,22011,Gross National Income,2019,2019,millions,15198.655753,X,Figure from international organizations,
MK,Macro Indicators,008,Albania,6110,Value US$,22011,Gross National Income,2020,2020,millions,14651.156758,X,Figure from international organizations,
MK,Macro Indicators,012,Algeria,6110,Value US$,22011,Gross National Income,2016,2016,millions,158864.842969,X,Figure from international organizations,
MK,Macro Indicators,012,Algeria,6110,Value US$,22011,Gross National Income,2017,2017,millions,167910.128603,X,Figure from international organizations,
MK,Macro Indicators,012,Algeria,6110,Value US$,22011,Gross National Income,2018,2018,millions,171267.305185,X,Figure from international organizations,
MK,Macro Indicators,012,Algeria,6110,Value US$,22011,Gross National Income,2019,2019,millions,167258.300287,X,Figure from international organizations,
MK,Macro Indicators,012,Algeria,6110,Value US$,22011,Gross National Income,2020,2020,millions,144323.52615,X,Figure from international organizations,
MK,Macro Indicators,020,Andorra,6110,Value US$,22011,Gross National Income,2016,2016,millions,2894.646184,X,Figure from international organizations,
MK,Macro Indicators,020,Andorra,6110,Value US$,22011,Gross National Income,2017,2017,millions,3000.160225,X,Figure from international organizations,
MK,Macro Indicators,020,Andorra,6110,Value US$,22011,Gross National Income,2018,2018,millions,3218.419456,X,Figure from international organizations,
MK,Macro Indicators,020,Andorra,6110,Value US$,22011,Gross National Income,2019,2019,millions,3155.149348,X,Figure from international organizations,
MK,Macro Indicators,020,Andorra,6110,Value US$,22011,Gross National Income,2020,2020,millions,2864.399402,X,Figure from international organizations,
MK,Macro Indicators,024,Angola,6110,Value US$,22011,Gross National Income,2016,2016,millions,95893.926423,X,Figure from international organizations,
MK,Macro Indicators,024,Angola,6110,Value US$,22011,Gross National Income,2017,2017,millions,114534.316867,X,Figure from international organizations,
MK,Macro Indicators,024,Angola,6110,Value US$,22011,Gross National Income,2018,2018,millions,93075.195256,X,Figure from international organizations,
MK,Macro Indicators,024,Angola,6110,Value US$,22011,Gross National Income,2019,2019,millions,81508.153533,X,Figure from international organizations,
MK,Macro Indicators,024,Angola,6110,Value US$,22011,Gross National Income,2020,2020,millions,57127.285414,X,Figure from international organizations,
MK,Macro Indicators,660,Anguilla,6110,Value US$,22011,Gross National Income,2016,2016,millions,318.836993,X,Figure from international organizations,
MK,Macro Indicators,660,Anguilla,6110,Value US$,22011,Gross National Income,2017,2017,millions,268.643211,X,Figure from international organizations,
MK,Macro Indicators,660,Anguilla,6110,Value US$,22011,Gross National Income,2018,2018,millions,315.310827,X,Figure from international organizations,
MK,Macro Indicators,660,Anguilla,6110,Value US$,22011,Gross National Income,2019,2019,millions,368.212796,X,Figure from international organizations,
MK,Macro Indicators,660,Anguilla,6110,Value US$,22011,Gross National Income,2020,2020,millions,252.934826,X,Figure from international organizations,
MK,Macro Indicators,028,Antigua and Barbuda,6110,Value US$,22011,Gross National Income,2016,2016,millions,1400.505137,X,Figure from international organizations,
MK,Macro Indicators,028,Antigua and Barbuda,6110,Value US$,22011,Gross National Income,2017,2017,millions,1427.607931,X,Figure from international organizations,
MK,Macro Indicators,028,Antigua and Barbuda,6110,Value US$,22011,Gross National Income,2018,2018,millions,1559.263821,X,Figure from international organizations,
MK,Macro Indicators,028,Antigua and Barbuda,6110,Value US$,22011,Gross National Income,2019,2019,millions,1635.046014,X,Figure from international organizations,
MK,Macro Indicators,028,Antigua and Barbuda,6110,Value US$,22011,Gross National Income,2020,2020,millions,1324.430463,X,Figure from international organizations,
MK,Macro Indicators,032,Argentina,6110,Value US$,22011,Gross National Income,2016,2016,millions,545251.637901,X,Figure from international organizations,
MK,Macro Indicators,032,Argentina,6110,Value US$,22011,Gross National Income,2017,2017,millions,627200.466771,X,Figure from international organizations,
MK,Macro Indicators,032,Argentina,6110,Value US$,22011,Gross National Income,2018,2018,millions,498932.986741,X,Figure from international organizations,
MK,Macro Indicators,032,Argentina,6110,Value US$,22011,Gross National Income,2019,2019,millions,427696.368065,X,Figure from international organizations,
MK,Macro Indicators,032,Argentina,6110,Value US$,22011,Gross National Income,2020,2020,millions,367803.744262,X,Figure from international organizations,
MK,Macro Indicators,051,Armenia,6110,Value US$,22011,Gross National Income,2016,2016,millions,10791.287343,X,Figure from international organizations,
MK,Macro Indicators,051,Armenia,6110,Value US$,22011,Gross National Income,2017,2017,millions,11934.829588,X,Figure from international organizations,
MK,Macro Indicators,051,Armenia,6110,Value US$,22011,Gross National Income,2018,2018,millions,12676.54761,X,Figure from international organizations,
MK,Macro Indicators,051,Armenia,6110,Value US$,22011,Gross National Income,2019,2019,millions,13858.276348,X,Figure from international organizations,
MK,Macro Indicators,051,Armenia,6110,Value US$,22011,Gross National Income,2020,2020,millions,12863.033728,X,Figure from international organizations,
MK,Macro Indicators,533,Aruba,6110,Value US$,22011,Gross National Income,2016,2016,millions,2848.441341,X,Figure from international organizations,
MK,Macro Indicators,533,Aruba,6110,Value US$,22011,Gross National Income,2017,2017,millions,2921.759553,X,Figure from international organizations,
MK,Macro Indicators,533,Aruba,6110,Value US$,22011,Gross National Income,2018,2018,millions,2991.586002,X,Figure from international organizations,
MK,Macro Indicators,533,Aruba,6110,Value US$,22011,Gross National Income,2019,2019,millions,3147.854452,X,Figure from international organizations,
MK,Macro Indicators,533,Aruba,6110,Value US$,22011,Gross National Income,2020,2020,millions,2368.246478,X,Figure from international organizations,
MK,Macro Indicators,036,Australia,6110,Value US$,22011,Gross National Income,2016,2016,millions,1274451.522629,X,Figure from international organizations,
MK,Macro Indicators,036,Australia,6110,Value US$,22011,Gross National Income,2017,2017,millions,1371861.981116,X,Figure from international organizations,
MK,Macro Indicators,036,Australia,6110,Value US$,22011,Gross National Income,2018,2018,millions,1412416.201537,X,Figure from international organizations,
MK,Macro Indicators,036,Australia,6110,Value US$,22011,Gross National Income,2019,2019,millions,1351405.73939,X,Figure from international organizations,
MK,Macro Indicators,036,Australia,6110,Value US$,22011,Gross National Income,2020,2020,millions,1383391.521463,X,Figure from international organizations,
MK,Macro Indicators,040,Austria,6110,Value US$,22011,Gross National Income,2016,2016,millions,395538.833553,X,Figure from international organizations,
MK,Macro Indicators,040,Austria,6110,Value US$,22011,Gross National Income,2017,2017,millions,413348.647949,X,Figure from international organizations,
MK,Macro Indicators,040,Austria,6110,Value US$,22011,Gross National Income,2018,2018,millions,450712.705812,X,Figure from international organizations,
