Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
IG,Government Expenditure,4,Afghanistan,6110,Value US$,23130,Total Expenditure (General Government),2016,2016,millions,9299.08934,X,Figure from international organizations,Consolidated General Government Expenditure
IG,Government Expenditure,4,Afghanistan,6110,Value US$,23130,Total Expenditure (General Government),2017,2017,millions,9095.510866,X,Figure from international organizations,Consolidated General Government Expenditure
IG,Government Expenditure,8,Albania,6110,Value US$,23130,Total Expenditure (General Government),2016,2016,millions,3428.258517,A,Official figure,Consolidated General Government Expenditure
IG,Government Expenditure,8,Albania,6110,Value US$,23130,Total Expenditure (General Government),2017,2017,millions,3805.99134,A,Official figure,Consolidated General Government Expenditure
IG,Government Expenditure,8,Albania,6110,Value US$,23130,Total Expenditure (General Government),2018,2018,millions,4355.901378,A,Official figure,Consolidated General Government Expenditure
IG,Government Expenditure,8,Albania,6110,Value US$,23130,Total Expenditure (General Government),2019,2019,millions,4446.43145,A,Official figure,Consolidated General Government Expenditure
IG,Government Expenditure,8,Albania,6110,Value US$,23130,Total Expenditure (General Government),2020,2020,millions,4907.063967,A,Official figure,Consolidated General Government Expenditure
IG,Government Expenditure,24,Angola,6110,Value US$,23130,Total Expenditure (General Government),2016,2016,millions,32870.63356,A,Official figure,Consolidated General Government Expenditure
IG,Government Expenditure,24,Angola,6110,Value US$,23130,Total Expenditure (General Government),2017,2017,millions,41011.564,A,Official figure,Consolidated General Government Expenditure
IG,Government Expenditure,24,Angola,6110,Value US$,23130,Total Expenditure (General Government),2018,2018,millions,35813.5808,A,Official figure,Consolidated General Government Expenditure
IG,Government Expenditure,24,Angola,6110,Value US$,23130,Total Expenditure (General Government),2019,2019,millions,28030.78127,A,Official figure,Consolidated General Government Expenditure
IG,Government Expenditure,24,Angola,6110,Value US$,23130,Total Expenditure (General Government),2020,2020,millions,23129.78956,A,Official figure,Consolidated General Government Expenditure
IG,Government Expenditure,28,Antigua and Barbuda,6110,Value US$,23130,Total Expenditure (General Government),2016,2016,millions,540.72864,A,Official figure,Consolidated General Government Expenditure
IG,Government Expenditure,28,Antigua and Barbuda,6110,Value US$,23130,Total Expenditure (General Government),2017,2017,millions,526.81455,A,Official figure,Consolidated General Government Expenditure
IG,Government Expenditure,28,Antigua and Barbuda,6110,Value US$,23130,Total Expenditure (General Government),2018,2018,millions,547.753102,A,Official figure,Consolidated General Government Expenditure
IG,Government Expenditure,28,Antigua and Barbuda,6110,Value US$,23130,Total Expenditure (General Government),2019,2019,millions,496.371151,A,Official figure,Consolidated General Government Expenditure
IG,Government Expenditure,28,Antigua and Barbuda,6110,Value US$,23130,Total Expenditure (General Government),2020,2020,millions,498.695844,X,Figure from international organizations,Consolidated General Government Expenditure
IG,Government Expenditure,51,Armenia,6110,Value US$,23130,Total Expenditure (General Government),2016,2016,millions,3091.129062,A,Official figure,Consolidated General Government Expenditure
IG,Government Expenditure,51,Armenia,6110,Value US$,23130,Total Expenditure (General Government),2017,2017,millions,3193.61435,A,Official figure,Consolidated General Government Expenditure
IG,Government Expenditure,51,Armenia,6110,Value US$,23130,Total Expenditure (General Government),2018,2018,millions,3065.825802,A,Official figure,Consolidated General Government Expenditure
IG,Government Expenditure,51,Armenia,6110,Value US$,23130,Total Expenditure (General Government),2019,2019,millions,3470.303013,A,Official figure,Consolidated General Government Expenditure
IG,Government Expenditure,51,Armenia,6110,Value US$,23130,Total Expenditure (General Government),2020,2020,millions,3936.329393,A,Official figure,Consolidated General Government Expenditure
IG,Government Expenditure,36,Australia,6110,Value US$,23130,Total Expenditure (General Government),2016,2016,millions,462142.8346,A,Official figure,Consolidated General Government Expenditure
IG,Government Expenditure,36,Australia,6110,Value US$,23130,Total Expenditure (General Government),2017,2017,millions,496621.5664,A,Official figure,Consolidated General Government Expenditure
IG,Government Expenditure,36,Australia,6110,Value US$,23130,Total Expenditure (General Government),2018,2018,millions,508683.369,A,Official figure,Consolidated General Government Expenditure
IG,Government Expenditure,36,Australia,6110,Value US$,23130,Total Expenditure (General Government),2019,2019,millions,499985.2124,A,Official figure,Consolidated General Government Expenditure
