Country Name,Country Code,Series Name,Series Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,64,67,71,64,66
Albania,ALB,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,96,96,94,95,91
Algeria,DZA,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,94,88,80,80,80
American Samoa,ASM,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,..,..,..,..,..
Andorra,AND,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,97,99,99,99,98
Angola,AGO,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,45,42,50,51,44
Antigua and Barbuda,ATG,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,88,99,96,93,89
Argentina,ARG,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,90,89,94,86,77
Armenia,ARM,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,97,96,95,95,94
Aruba,ABW,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,..,..,..,..,..
Australia,AUS,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,95,94,94,94,93
Austria,AUT,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,95,96,94,95,95
Azerbaijan,AZE,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,98,98,96,98,82
"Bahamas, The",BHS,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,89,90,89,83,87
Bahrain,BHR,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,99,99,99,99,99
Bangladesh,BGD,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,97,97,97,97,97
Barbados,BRB,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,92,92,85,92,89
Belarus,BLR,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,98,97,98,98,97
Belgium,BEL,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,96,96,96,96,96
Belize,BLZ,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,95,90,97,96,82
Benin,BEN,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,68,68,68,68,65
Bermuda,BMU,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,..,..,..,..,..
Bhutan,BTN,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,97,97,97,97,93
Bolivia,BOL,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,94,83,89,79,74
Bosnia and Herzegovina,BIH,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,68,69,68,68,68
Botswana,BWA,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,97,97,97,97,87
Brazil,BRA,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,95,91,92,91,79
British Virgin Islands,VGB,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,..,..,..,..,..
Brunei Darussalam,BRN,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,98,97,99,97,99
Bulgaria,BGR,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,92,94,93,95,88
Burkina Faso,BFA,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,88,88,88,88,88
Burundi,BDI,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,93,90,88,92,90
Cabo Verde,CPV,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,93,96,99,98,95
Cambodia,KHM,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,84,84,84,84,84
Cameroon,CMR,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,71,65,59,60,62
Canada,CAN,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,89,90,90,90,90
Cayman Islands,CYM,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,..,..,..,..,..
Central African Republic,CAF,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,45,41,41,41,41
Chad,TCD,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,37,37,42,41,47
Channel Islands,CHI,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,..,..,..,..,..
Chile,CHL,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,93,93,93,95,91
China,CHN,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,99,99,99,99,99
Colombia,COL,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,93,93,95,95,90
Comoros,COM,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,90,90,90,90,89
"Congo, Dem. Rep.",COD,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,63,65,64,65,62
"Congo, Rep.",COG,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,67,70,75,73,68
Costa Rica,CRI,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,93,96,94,95,95
Cote d'Ivoire,CIV,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,73,70,75,73,66
Croatia,HRV,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,90,89,93,93,91
Cuba,CUB,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,99,99,99,99,98
Curacao,CUW,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,..,..,..,..,..
Cyprus,CYP,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,90,90,90,86,86
Czechia,CZE,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,98,97,96,92,94
Denmark,DNK,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,94,97,95,96,94
Djibouti,DJI,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,75,81,86,83,62
Dominica,DMA,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,96,77,84,92,92
Dominican Republic,DOM,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,85,86,91,96,82
Ecuador,ECU,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,86,81,83,83,81
"Egypt, Arab Rep.",EGY,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,95,94,94,95,94
El Salvador,SLV,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,90,85,81,82,71
Equatorial Guinea,GNQ,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,53,53,53,53,53
Eritrea,ERI,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,95,93,93,93,93
Estonia,EST,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,93,93,87,88,91
Eswatini,SWZ,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,89,89,85,81,76
Ethiopia,ETH,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,57,59,55,58,60
Faroe Islands,FRO,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,..,..,..,..,..
Fiji,FJI,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,96,96,96,96,96
Finland,FIN,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,94,94,96,96,95
France,FRA,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,90,90,90,92,92
French Polynesia,PYF,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,..,..,..,..,..
Gabon,GAB,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,64,63,59,62,53
"Gambia, The",GMB,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,97,90,91,85,82
Georgia,GEO,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,93,95,98,99,91
Germany,DEU,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,97,97,97,97,97
Ghana,GHA,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,89,95,92,92,88
Gibraltar,GIB,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,..,..,..,..,..
Greece,GRC,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,97,97,97,97,97
Greenland,GRL,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,..,..,..,..,..
Grenada,GRD,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,95,85,84,94,83
Guam,GUM,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,..,..,..,..,..
Guatemala,GTM,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,89,94,89,90,88
Guinea,GIN,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,47,47,47,47,47
Guinea-Bissau,GNB,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,80,66,79,79,72
Guyana,GUY,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,99,99,98,98,98
Haiti,HTI,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,69,69,69,65,65
Honduras,HND,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,98,98,91,89,82
"Hong Kong SAR, China",HKG,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,..,..,..,..,..
Hungary,HUN,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,99,99,99,99,99
Iceland,ISL,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,91,92,93,93,93
India,IND,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,88,90,93,95,89
Indonesia,IDN,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,88,90,89,88,76
"Iran, Islamic Rep.",IRN,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,99,99,99,99,99
Iraq,IRQ,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,79,81,85,82,76
Ireland,IRL,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,92,92,92,91,92
Isle of Man,IMN,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,..,..,..,..,..
Israel,ISR,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,97,98,98,99,99
Italy,ITA,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,87,92,93,94,92
Jamaica,JAM,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,95,95,89,94,93
Japan,JPN,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,96,97,97,96,98
Jordan,JOR,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,96,93,92,87,76
Kazakhstan,KAZ,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,99,99,99,99,93
Kenya,KEN,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,96,89,89,89,88
Kiribati,KIR,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,80,81,84,94,82
"Korea, Dem. People's Rep.",PRK,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,99,99,98,98,99
"Korea, Rep.",KOR,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,98,97,98,98,98
Kosovo,XKX,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,..,..,..,..,..
Kuwait,KWT,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,99,99,98,97,95
Kyrgyz Republic,KGZ,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,97,95,96,96,92
Lao PDR,LAO,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,81,86,86,83,79
Latvia,LVA,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,93,96,98,99,99
Lebanon,LBN,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,82,82,82,82,74
Lesotho,LSO,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,90,90,90,90,90
Liberia,LBR,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,70,75,74,68,61
Libya,LBY,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,97,94,73,73,73
Liechtenstein,LIE,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,..,..,..,..,..
Lithuania,LTU,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,94,94,92,93,90
Luxembourg,LUX,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,99,99,99,99,99
"Macao SAR, China",MAC,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,..,..,..,..,..
Madagascar,MDG,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,62,55,52,55,50
Malawi,MWI,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,81,83,87,92,90
Malaysia,MYS,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,93,93,96,97,95
Maldives,MDV,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,99,99,99,99,99
Mali,MLI,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,70,70,70,70,62
Malta,MLT,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,93,91,96,96,95
Marshall Islands,MHL,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,75,83,83,85,89
Mauritania,MRT,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,73,75,78,75,70
Mauritius,MUS,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,92,89,99,99,89
Mexico,MEX,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,96,76,97,73,92
"Micronesia, Fed. Sts.",FSM,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,70,76,73,78,79
Moldova,MDA,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,88,93,93,97,84
Monaco,MCO,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,89,88,88,88,88
Mongolia,MNG,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,98,99,99,98,97
Montenegro,MNE,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,47,58,42,33,24
Morocco,MAR,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,99,99,99,99,99
Mozambique,MOZ,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,87,87,87,87,81
Myanmar,MMR,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,91,83,93,84,91
Namibia,NAM,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,75,80,82,80,90
Nauru,NRU,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,98,95,99,95,98
Nepal,NPL,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,83,90,91,92,87
Netherlands,NLD,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,94,93,93,94,94
New Caledonia,NCL,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,..,..,..,..,..
New Zealand,NZL,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,92,93,92,92,91
Nicaragua,NIC,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,99,99,99,99,97
Niger,NER,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,76,82,77,79,79
Nigeria,NGA,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,47,54,56,57,59
North Macedonia,MKD,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,82,83,75,75,63
Northern Mariana Islands,MNP,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,..,..,..,..,..
Norway,NOR,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,96,96,96,97,97
Oman,OMN,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,99,99,99,99,99
Pakistan,PAK,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,75,76,79,81,83
Palau,PLW,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,96,93,90,97,93
Panama,PAN,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,95,98,98,97,80
Papua New Guinea,PNG,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,46,38,37,37,47
Paraguay,PRY,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,85,92,93,87,80
Peru,PER,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,88,83,85,85,77
Philippines,PHL,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,80,78,77,75,72
Poland,POL,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,96,94,93,93,80
Portugal,PRT,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,98,98,99,99,99
Puerto Rico,PRI,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,..,..,..,..,..
Qatar,QAT,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,99,99,99,99,90
Romania,ROU,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,86,86,90,90,87
Russian Federation,RUS,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,98,98,98,98,97
Rwanda,RWA,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,95,97,99,96,94
Samoa,WSM,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,75,67,40,96,66
San Marino,SMR,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,82,86,89,86,90
Sao Tome and Principe,STP,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,93,90,95,95,86
Saudi Arabia,SAU,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,98,96,98,95,96
Senegal,SEN,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,93,90,86,89,88
Serbia,SRB,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,82,86,92,87,78
Seychelles,SYC,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,97,99,96,99,97
Sierra Leone,SLE,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,85,80,87,93,87
Singapore,SGP,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,95,95,95,95,95
Sint Maarten (Dutch part),SXM,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,..,..,..,..,..
Slovak Republic,SVK,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,95,96,96,96,96
Slovenia,SVN,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,92,93,93,94,94
Solomon Islands,SLB,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,82,84,93,81,81
Somalia,SOM,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,46,46,46,46,46
South Africa,ZAF,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,84,81,81,83,84
South Sudan,SSD,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,51,50,49,49,49
Spain,ESP,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,97,98,98,98,96
Sri Lanka,LKA,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,99,99,99,99,96
St. Kitts and Nevis,KNA,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,98,93,96,97,95
St. Lucia,LCA,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,99,87,86,96,89
St. Martin (French part),MAF,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,..,..,..,..,..
St. Vincent and the Grenadines,VCT,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,99,99,99,99,99
Sudan,SDN,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,86,90,88,90,86
Suriname,SUR,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,76,76,77,64,45
Sweden,SWE,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,97,97,97,97,97
Switzerland,CHE,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,94,95,95,95,97
Syrian Arab Republic,SYR,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,62,67,63,65,59
Tajikistan,TJK,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,97,98,98,98,98
Tanzania,TZA,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,83,90,88,88,84
Thailand,THA,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,99,99,96,96,96
Timor-Leste,TLS,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,73,77,77,85,79
