Series Name,Series Code,Country Name,Country Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Afghanistan,AFG,67.5,64.8,62.3,60.1,58
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Albania,ALB,9.4,9.4,9.5,9.7,9.8
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Algeria,DZA,24.8,24.3,23.8,23.3,22.7
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,American Samoa,ASM,..,..,..,..,..
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Andorra,AND,3.2,3,2.8,2.7,2.5
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Angola,AGO,84.1,80.6,77.3,74.2,71.5
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Antigua and Barbuda,ATG,7.4,7.1,6.9,6.6,6.4
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Argentina,ARG,10.9,10.3,9.7,9.1,8.6
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Armenia,ARM,13.4,12.7,12.1,11.5,10.9
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Aruba,ABW,..,..,..,..,..
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Australia,AUS,3.8,3.8,3.7,3.7,3.7
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Austria,AUT,3.6,3.6,3.6,3.6,3.6
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Azerbaijan,AZE,24.5,22.8,21.5,20.4,19.4
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,"Bahamas, The",BHS,13.7,13.3,13,22.4,12.3
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Bahrain,BHR,7.5,7.3,7.1,7,6.8
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Bangladesh,BGD,36.1,34.2,32.4,30.7,29.1
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Barbados,BRB,13.7,13.4,13,12.6,12.2
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Belarus,BLR,3.9,3.6,3.4,3.1,2.9
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Belgium,BEL,4.1,4.1,4.2,4.2,4.2
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Belize,BLZ,14.5,13.7,12.9,12.3,11.7
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Benin,BEN,95.4,93.2,90.9,88.4,85.9
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Bermuda,BMU,..,..,..,..,..
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Bhutan,BTN,31.9,30.7,29.6,28.6,27.6
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Bolivia,BOL,29.9,28.6,27.4,26.3,25.4
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Bosnia and Herzegovina,BIH,6.2,6.1,6,5.9,5.7
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Botswana,BWA,49.2,47.8,47,45.9,44.8
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Brazil,BRA,16.7,15.4,15.2,14.9,14.7
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,British Virgin Islands,VGB,..,..,..,..,..
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Brunei Darussalam,BRN,10.8,11,11.2,11.4,11.5
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Bulgaria,BGR,7.7,7.3,7,6.6,6.1
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Burkina Faso,BFA,97.5,94.1,90.8,87.8,85
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Burundi,BDI,64.4,61.5,59,56.6,54.4
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Cabo Verde,CPV,18.1,16.8,15.8,14.9,14.2
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Cambodia,KHM,30.3,29,27.7,26.6,25.7
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Cameroon,CMR,84.2,80.6,77.3,74.7,72.2
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Canada,CAN,5.3,5.2,5.1,5.1,5
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Cayman Islands,CYM,..,..,..,..,..
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Central African Republic,CAF,118.2,114.5,111.1,106.6,103
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Chad,TCD,124.9,121.1,117.3,113.5,110
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Channel Islands,CHI,..,..,..,..,..
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Chile,CHL,7.7,7.4,7.2,7,6.8
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,China,CHN,9.9,9.2,8.5,7.9,7.3
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Colombia,COL,15,14.6,14.1,13.6,13.2
