Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
OA,Annual population,004,Afghanistan,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2016,2016,1000 persons,34636.207,X,Figure from international organizations,
OA,Annual population,004,Afghanistan,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2017,2017,1000 persons,35643.418,X,Figure from international organizations,
OA,Annual population,004,Afghanistan,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2018,2018,1000 persons,36686.784,X,Figure from international organizations,
OA,Annual population,004,Afghanistan,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2019,2019,1000 persons,37769.499,X,Figure from international organizations,
OA,Annual population,004,Afghanistan,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2020,2020,1000 persons,38972.23,X,Figure from international organizations,
OA,Annual population,008,Albania,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2016,2016,1000 persons,2881.063,X,Figure from international organizations,
OA,Annual population,008,Albania,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2017,2017,1000 persons,2879.355,X,Figure from international organizations,
OA,Annual population,008,Albania,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2018,2018,1000 persons,2877.013,X,Figure from international organizations,
OA,Annual population,008,Albania,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2019,2019,1000 persons,2873.883,X,Figure from international organizations,
OA,Annual population,008,Albania,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2020,2020,1000 persons,2866.849,X,Figure from international organizations,
OA,Annual population,012,Algeria,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2016,2016,1000 persons,40339.329,X,Figure from international organizations,
OA,Annual population,012,Algeria,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2017,2017,1000 persons,41136.546,X,Figure from international organizations,
OA,Annual population,012,Algeria,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2018,2018,1000 persons,41927.007,X,Figure from international organizations,
OA,Annual population,012,Algeria,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2019,2019,1000 persons,42705.368,X,Figure from international organizations,
OA,Annual population,012,Algeria,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2020,2020,1000 persons,43451.666,X,Figure from international organizations,
OA,Annual population,016,American Samoa,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2016,2016,1000 persons,50.448,X,Figure from international organizations,
OA,Annual population,016,American Samoa,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2017,2017,1000 persons,49.463,X,Figure from international organizations,
OA,Annual population,016,American Samoa,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2018,2018,1000 persons,48.424,X,Figure from international organizations,
OA,Annual population,016,American Samoa,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2019,2019,1000 persons,47.321,X,Figure from international organizations,
OA,Annual population,016,American Samoa,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2020,2020,1000 persons,46.189,X,Figure from international organizations,
OA,Annual population,020,Andorra,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2016,2016,1000 persons,72.54,X,Figure from international organizations,
OA,Annual population,020,Andorra,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2017,2017,1000 persons,73.837,X,Figure from international organizations,
OA,Annual population,020,Andorra,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2018,2018,1000 persons,75.013,X,Figure from international organizations,
OA,Annual population,020,Andorra,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2019,2019,1000 persons,76.343,X,Figure from international organizations,
OA,Annual population,020,Andorra,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2020,2020,1000 persons,77.7,X,Figure from international organizations,
