Series Name,Series Code,Country Name,Country Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Afghanistan,AFG,11.15799999,11.18000031,11.15200043,11.21700001,11.71000004
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Albania,ALB,15.42000008,13.61999989,12.30000019,11.47000027,13.32900047
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Algeria,DZA,10.19999981,10.33300018,10.42000008,10.51299953,12.55000019
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,American Samoa,ASM,..,..,..,..,..
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Andorra,AND,..,..,..,..,..
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Angola,AGO,7.412000179,7.407999992,7.421000004,7.421000004,8.333000183
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Antigua and Barbuda,ATG,..,..,..,..,..
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Argentina,ARG,8.111000061,8.350000381,9.220000267,9.840000153,11.46000004
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Armenia,ARM,17.62000084,17.70000076,18.96999931,18.29999924,21.20599937
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Aruba,ABW,..,..,..,..,..
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Australia,AUS,5.710000038,5.590000153,5.300000191,5.159999847,6.460000038
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Austria,AUT,6.010000229,5.5,4.849999905,4.489999771,5.360000134
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Azerbaijan,AZE,5,5,4.900000095,4.849999905,6.462999821
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,"Bahamas, The",BHS,12.69999981,9.800000191,10,10.06099987,13.3210001
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Bahrain,BHR,1.190999985,1.182999969,1.200999975,1.19599998,1.781000018
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Bangladesh,BGD,4.349999905,4.369999886,4.413000107,4.438000202,5.413000107
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Barbados,BRB,8.25,8.619999886,8.319999695,8.409999847,10.37699986
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Belarus,BLR,5.840000153,5.650000095,4.760000229,4.159999847,4.768000126
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Belgium,BEL,7.829999924,7.090000153,5.949999809,5.360000134,5.550000191
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Belize,BLZ,7,6.599999905,6.644000053,6.710999966,8.461999893
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Benin,BEN,1.827999949,1.644000053,1.470000029,1.470000029,1.583999991
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Bermuda,BMU,..,..,..,..,..
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Bhutan,BTN,2.493000031,2.453000069,2.444000006,2.502000093,3.648999929
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Bolivia,BOL,3.5,3.650000095,3.519999981,3.819999933,7.900000095
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Bosnia and Herzegovina,BIH,25.40999985,20.53000069,18.39999962,15.68999958,15.26500034
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Botswana,BWA,21.02899933,21.56599998,22.07099915,22.61000061,24.93000031
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Brazil,BRA,11.60000038,12.81999969,12.32999992,11.93000031,13.68999958
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,British Virgin Islands,VGB,..,..,..,..,..
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Brunei Darussalam,BRN,8.383000374,9.319999695,8.699999809,6.920000076,7.68200016
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Bulgaria,BGR,7.570000172,6.159999847,5.210000038,4.230000019,5.119999886
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Burkina Faso,BFA,4.434000015,4.563000202,4.690000057,4.69299984,4.894999981
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Burundi,BDI,1.590000033,1.588999987,1.587000012,1.588999987,1.707000017
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Cabo Verde,CPV,12.00800037,12.23999977,12.17000008,12.21899986,15.30599976
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Cambodia,KHM,0.720000029,0.140000001,0.143000007,0.147,0.331
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Cameroon,CMR,3.575000048,3.599999905,3.617000103,3.638000011,3.836999893
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Canada,CAN,7,6.340000153,5.829999924,5.659999847,9.460000038
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Cayman Islands,CYM,..,..,..,..,..
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Central African Republic,CAF,5.65199995,5.647999763,5.605000019,5.623000145,6.356999874
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Chad,TCD,1.103999972,1.118999958,1.129999995,1.123000026,1.741999984
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Channel Islands,CHI,7.742000103,7.138000011,6.573999882,6.413000107,7.68599987
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Chile,CHL,6.739999771,6.960000038,7.230000019,7.289999962,11.18000031
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,China,CHN,4.53000021,4.440000057,4.28000021,4.519999981,5
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Colombia,COL,8.68999958,8.869999886,9.109999657,9.960000038,15.03999996
"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,Comoros,COM,8.102000237,8.086000443,8.079000473,8.081999779,9.222999573
