ISO3_Code,Country_Name,M49_Code,Access_To_Electricity_2016,Access_To_Electricity_2017,Access_To_Electricity_2018,Access_To_Electricity_2019,Access_To_Electricity_2020,Access_To_Electricity_Avg
AFG,Afghanistan,4.0,97.69999695,97.69999695,96.61613464,97.69999695,97.69999695,97.483224488
ALB,Albania,8.0,99.88999939,99.88999939,100.0,100.0,100.0,99.95599975600001
DZA,Algeria,12.0,99.35025024,99.63549042,99.69783783,99.5,99.80413055,99.59754180799999
ASM,American Samoa,16.0,,,,,,
AND,Andorra,20.0,100.0,100.0,100.0,100.0,100.0,100.0
AGO,Angola,24.0,41.81312943,43.01325989,45.29000092,45.64279938,46.89060974,44.52995987199999
ATG,Antigua and Barbuda,28.0,100.0,100.0,100.0,100.0,100.0,100.0
ARG,Argentina,32.0,99.84957886,100.0,99.98957825,100.0,100.0,99.96783142199999
ARM,Armenia,51.0,99.80000305,99.69999695,99.90000153,100.0,100.0,99.880000306
ABW,Aruba,533.0,100.0,100.0,100.0,100.0,100.0,100.0
AUS,Australia,36.0,100.0,100.0,100.0,100.0,100.0,100.0
AUT,Austria,40.0,100.0,100.0,100.0,100.0,100.0,100.0
AZE,Azerbaijan,31.0,100.0,100.0,100.0,100.0,100.0,100.0
BHS,Bahamas,44.0,100.0,100.0,100.0,100.0,100.0,100.0
BHR,Bahrain,48.0,100.0,100.0,100.0,100.0,100.0,100.0
BGD,Bangladesh,50.0,75.91999817,88.0,91.80000305,92.19999695,96.19999695,88.823999024
BRB,Barbados,52.0,100.0,100.0,100.0,100.0,100.0,100.0
BLR,Belarus,112.0,100.0,100.0,100.0,100.0,100.0,100.0
BEL,Belgium,56.0,100.0,100.0,100.0,100.0,100.0,100.0
BLZ,Belize,84.0,93.22231293,94.18901062,91.72000122,92.72000122,97.11333466,93.79293213
BEN,Benin,204.0,37.09524536,34.5,39.24691772,40.32868958,41.41095734,38.516362
BMU,Bermuda,60.0,100.0,100.0,100.0,100.0,100.0,100.0
BTN,Bhutan,64.0,99.58979034,97.69999695,99.97436523,100.0,100.0,99.45283050399999
BOL,Bolivia (Plurinational State of),68.0,91.80000305,91.80000305,92.80000305,95.08000183,97.55412292,93.80682678000001
BIH,Bosnia and Herzegovina,70.0,100.0,100.0,100.0,100.0,100.0,100.0
BWA,Botswana,72.0,64.17505646,67.40000153,68.22926331,69.95973969,71.99475861,68.35176392000001
BRA,Brazil,76.0,99.69999695,99.80000305,99.69999695,99.80000305,100.0,99.8
VGB,British Virgin Islands,92.0,100.0,100.0,100.0,100.0,100.0,100.0
BRN,Brunei Darussalam,96.0,100.0,100.0,100.0,100.0,100.0,100.0
BGR,Bulgaria,100.0,100.0,100.0,100.0,100.0,99.69999695,99.93999939
BFA,Burkina Faso,854.0,16.64105606,17.21404266,14.39999962,18.37485504,18.95723915,17.117438506000003
BDI,Burundi,108.0,9.348409653,9.300000191,10.88490868,11.35652828,11.73555565,10.5250804908
CPV,Cabo Verde,132.0,87.5449295,88.69096375,90.41175079,91.40000153,94.16174316,90.441877746
KHM,Cambodia,116.0,69.54431152,89.06999969,81.07565308,84.0,86.40000153,82.01799316399999
CMR,Cameroon,120.0,59.80877686,61.03086472,62.20000076,63.48987961,64.72136688,62.250177766
CAN,Canada,124.0,100.0,100.0,100.0,100.0,100.0,100.0
CYM,Cayman Islands,136.0,100.0,100.0,100.0,100.0,100.0,100.0
CAF,Central African Republic,140.0,13.53381634,14.29954147,14.84237576,14.30000019,15.46508408,14.488163568
TCD,Chad,148.0,9.263847351,10.89999962,10.11404037,8.399999619,11.08011723,9.951600838
CHL,Chile,152.0,100.0,99.69999695,100.0,100.0,100.0,99.93999939
CHN,China,159.0,100.0,100.0,100.0,100.0,100.0,100.0
COL,Colombia,170.0,98.40000153,98.5,98.5,99.75592041,100.0,99.031184388
COM,Comoros,174.0,76.99304199,79.42300415,81.85890961,84.29777527,86.73713684,81.861973572
COD,Democratic Republic of the Congo,180.0,17.04183769,17.91650963,18.56829071,19.10000038,19.10000038,18.345327758
COG,Congo,178.0,45.50832748,46.57394791,47.41667557,48.40747452,49.51710129,47.484705354
CRI,Costa Rica,188.0,99.5,99.59999847,99.69999695,99.70999908,99.90000153,99.681999206
CIV,Côte d'Ivoire,384.0,64.30000305,65.59999847,67.14739227,68.45955658,69.67912292,67.03721465800001
HRV,Croatia,191.0,100.0,100.0,100.0,100.0,100.0,100.0
CUB,Cuba,192.0,98.95478821,99.23503113,99.52120972,99.80000305,100.0,99.502206422
CUW,Curaçao,531.0,100.0,100.0,100.0,100.0,100.0,100.0
CYP,Cyprus,196.0,100.0,100.0,100.0,100.0,100.0,100.0
CZE,Czechia,203.0,100.0,100.0,100.0,100.0,100.0,100.0
DNK,Denmark,208.0,100.0,100.0,100.0,100.0,100.0,100.0
DJI,Djibouti,262.0,58.67544556,60.20000076,60.5641861,61.21192932,61.76708221,60.48372879
DMA,Dominica,212.0,99.98353577,100.0,100.0,100.0,100.0,99.996707154
DOM,Dominican Republic,214.0,98.90000153,100.0,98.90000153,99.0,100.0,99.360000612
ECU,Ecuador,218.0,98.69999695,99.19999695,98.69999695,99.08999634,98.84999847,98.907997132
EGY,Egypt,818.0,100.0,100.0,100.0,100.0,100.0,100.0
SLV,El Salvador,222.0,96.0,96.80000305,97.0,97.36000061,100.0,97.43200073199999
GNQ,Equatorial Guinea,226.0,66.17035675,66.30863953,66.45285797,66.60004425,66.74772644,66.455924988
ERI,Eritrea,232.0,47.24803925,48.47274399,49.7033844,50.93699265,52.1710968,49.70645141800001
EST,Estonia,233.0,100.0,100.0,100.0,100.0,100.0,100.0
SWZ,Eswatini,748.0,63.43000031,73.5,73.91577911,76.86943817,79.73049927,73.48914337199999
ETH,Ethiopia,231.0,42.90000153,44.29999924,44.94060135,48.063591,51.0939827,46.259635164
FRO,Faroe Islands,234.0,100.0,100.0,100.0,100.0,100.0,100.0
FJI,Fiji,242.0,96.56174469,96.0,99.37250519,99.71588135,100.0,98.33002624600002
FIN,Finland,246.0,100.0,100.0,100.0,100.0,100.0,100.0
FRA,France,250.0,100.0,100.0,100.0,100.0,100.0,100.0
PYF,French Polynesia,258.0,100.0,100.0,100.0,100.0,100.0,100.0
GAB,Gabon,266.0,88.2038269,86.26999664,89.8815155,90.72629547,91.57156372,89.33063964599998
GMB,Gambia,270.0,56.32740784,56.20000076,60.29999924,62.09999847,62.27306747,59.44009475600001
GEO,Georgia,268.0,100.0,100.0,99.90000153,100.0,100.0,99.980000306
DEU,Germany,276.0,100.0,100.0,100.0,100.0,100.0,100.0
GHA,Ghana,288.0,79.30000305,79.0,80.40000153,83.5,85.87355042,81.614711
GIB,Gibraltar,292.0,100.0,100.0,100.0,100.0,100.0,100.0
GRC,Greece,300.0,100.0,100.0,100.0,100.0,100.0,100.0
GRL,Greenland,304.0,100.0,100.0,100.0,100.0,100.0,100.0
GRD,Grenada,308.0,91.73786926,92.19395447,92.30000305,93.12096405,93.58644867,92.5878479
GUM,Guam,316.0,100.0,100.0,100.0,100.0,100.0,100.0
GTM,Guatemala,320.0,91.81558228,93.30000305,94.42923737,95.74200439,97.05526733,94.46841888399999
GIN,Guinea,324.0,33.5,35.40000153,45.0,42.20000076,44.66867828,40.153736114
GNB,Guinea-Bissau,624.0,22.96879196,26.0,28.49505615,30.96155739,33.33546829,28.352174758
GUY,Guyana,328.0,89.17035675,90.29581451,91.19837952,91.91575623,92.5405426,91.024169922
HTI,Haiti,332.0,40.40000153,43.74927139,44.96234512,45.99023438,46.92553329,44.405477142
HND,Honduras,340.0,91.59999847,86.5,91.59999847,91.09999847,93.20671082,90.801341246
HKG,"China, Hong Kong SAR",344.0,100.0,100.0,100.0,100.0,100.0,100.0
HUN,Hungary,348.0,100.0,100.0,100.0,100.0,100.0,100.0
ISL,Iceland,352.0,100.0,100.0,100.0,100.0,100.0,100.0
IND,India,356.0,89.21779633,92.12494659,95.69999695,97.30826569,99.0,94.670201112
IDN,Indonesia,360.0,97.62000275,98.13999939,98.51000214,98.84999847,96.94999695,98.01399993999999
IRN,Iran (Islamic Republic of),364.0,99.94999695,99.94000244,100.0,100.0,100.0,99.977999878
