ISO3_Code,Country_Name,M49_Code,Year,Life_Expectancy,Mean_Years_Of_Schooling,CPI_Food,Net_FDI,Infant_Mortality_Rate,Unemployment,Access_To_Electricity,Fertility_Rate,Immunization_Measles,Labor_Force_Gender_Ratio,Prevalence_of_undernourishment
AFG,Afghanistan,4.0,2016,63.1361,2.463660385,108.916832,78.81,67.5,11.15799999,97.69999695,4.8,64.0,27.1038412375653,22.2
AGO,Angola,24.0,2016,61.0923,5.417390823,154.136774,-452.522619,84.1,7.412000179,41.81312943,5.686,45.0,93.8053547304643,15.4
ALB,Albania,8.0,2016,78.8602,10.72752833,104.588667,1036.471408,9.4,15.42000008,99.88999939,1.659,96.0,76.6604881917464,4.7
ARE,United Arab Emirates,784.0,2016,79.3347,10.8426199,100.998062,-6106.627,7.4,1.639999986,100.0,1.491,99.0,54.9341874541192,6.3
ARG,Argentina,32.0,2016,76.3077,10.92819023,119.206012,1473.633407,10.9,8.111000061,99.84957886,2.288,90.0,67.0664064718027,2.6
ARM,Armenia,51.0,2016,74.6639,11.37989998,98.137571,263.213932,13.4,17.62000084,99.80000305,1.744,97.0,71.0751767702097,2.7
AUS,Australia,36.0,2016,82.8707,12.35210991,102.0419,46096.89194,3.8,5.710000038,100.0,1.752,95.0,84.0514207230873,1.5
AUT,Austria,40.0,2016,81.5925,12.11466026,101.1,-6474.80789,3.6,6.010000229,100.0,1.53,95.0,83.723335382459,1.5
AZE,Azerbaijan,31.0,2016,72.0039,10.55539989,124.781488,1926.0,24.5,5.0,100.0,1.9,98.0,90.3326187877734,1.5
BEL,Belgium,56.0,2016,81.2661,11.98532009,102.1507,22868.65467,4.1,7.829999924,100.0,1.68,96.0,81.3550624604442,1.5
BEN,Benin,204.0,2016,59.5394,3.863223294,98.81456,114.409647,95.4,1.827999949,37.09524536,4.977,68.0,94.8290854459268,7.6
BFA,Burkina Faso,854.0,2016,59.3262,1.602925003,98.316135,340.114274,97.5,4.434000015,16.64105606,5.353,88.0,78.3047574314716,12.3
BGD,Bangladesh,50.0,2016,71.09,6.113890171,108.2819,2292.19,36.1,4.349999905,75.91999817,2.09,97.0,41.8012189212087,13.3
BGR,Bulgaria,100.0,2016,74.8336,11.23243999,100.490613,635.183163,7.7,7.570000172,100.0,1.54,92.0,80.1537493661635,3.5
BIH,Bosnia and Herzegovina,70.0,2016,76.8083,9.692919731,97.8111,311.141147,6.2,25.40999985,100.0,1.286,68.0,58.6208183813292,1.5
BLR,Belarus,112.0,2016,74.258,11.85758429,115.694397,1124.0,3.9,5.840000153,100.0,1.733,98.0,82.7045167704637,1.5
BLZ,Belize,84.0,2016,73.3988,9.503048134,99.201553,42.2685,14.5,7.0,93.22231293,2.391,95.0,61.8917714455705,7.2
BOL,Bolivia (Plurinational State of),68.0,2016,67.6277,9.162832737,108.111846,246.49949,29.9,3.5,91.80000305,2.829,94.0,73.2212640156102,13.1
BRA,Brazil,76.0,2016,74.4415,7.731040001,114.3018,59601.13601,16.7,11.60000038,99.69999695,1.747,95.0,70.854286248901,1.5
BRB,Barbados,52.0,2016,76.8149,9.734617347,114.376464,462.836987,13.7,8.25,100.0,1.613,92.0,89.2274236656232,4.4
BRN,Brunei Darussalam,96.0,2016,74.7332,9.06,99.021323,3457.305457080882,10.8,8.383000374,100.0,1.915,98.0,80.568398348219,6.8
BWA,Botswana,72.0,2016,65.4644,10.1,104.29427,312.216268,49.2,21.02899933,64.17505646,2.942,97.0,84.9084410548527,20.1
CAN,Canada,124.0,2016,82.0434,13.73192024,98.58939,-33450.74531,5.3,7.0,100.0,1.59,89.0,87.2064916845893,1.5
CHE,Switzerland,756.0,2016,83.4452,13.66668034,99.67825,-16384.94123,4.2,4.920000076,100.0,1.54,94.0,84.3497905094021,1.5
CHL,Chile,152.0,2016,80.0794,10.42321491,104.5233,3836.168964,7.7,6.739999771,100.0,1.713,93.0,67.4035813377071,3.1
CIV,Côte d'Ivoire,384.0,2016,58.0599,4.921027531,100.23522,549.220086,88.4,2.599999905,64.30000305,4.759,73.0,69.4460736773441,6.9
CMR,Cameroon,120.0,2016,60.2333,5.983691359,100.59845,702.678,84.2,3.575000048,59.80877686,4.708,71.0,86.4262765965891,5.9
COD,Democratic Republic of the Congo,180.0,2016,59.0664,6.75948,109.950799,932.374669,92.8,4.477000237,17.04183769,6.112,63.0,89.596545591156,36.0
COG,Congo,178.0,2016,63.5765,6.124,97.303491,1601.236924,50.8,20.55900002,45.50832748,4.536,67.0,96.3751342834635,26.4
COL,Colombia,170.0,2016,76.4713,8.221500397,112.482,9331.0,15.0,8.68999958,98.40000153,1.843,93.0,71.4405653607758,6.0
CPV,Cabo Verde,132.0,2016,75.7423,5.973347954,100.424339,135.14965,18.1,12.00800037,87.5449295,2.346,93.0,76.4411362114823,17.0
CRI,Costa Rica,188.0,2016,79.4592,8.564390182,99.55278,2127.035025,8.9,8.600000381,99.5,1.789,93.0,60.8616470754889,3.6
CYP,Cyprus,196.0,2016,81.0563,12.08658028,100.78,2238.61659,2.9,12.94999981,100.0,1.345,90.0,84.6196737023192,1.5
CZE,Czechia,203.0,2016,78.9967,12.73709011,100.8,7632.962874,3.2,3.950000048,100.0,1.63,98.0,75.8415472098479,1.5
DEU,Germany,276.0,2016,80.8471,14.1321497,102.3,-48027.81099,3.9,4.119999886,100.0,1.6,97.0,83.5933594081162,1.5
DJI,Djibouti,262.0,2016,62.1908,4.07,108.327675,3457.305457080882,63.8,26.19300079,58.67544556,2.846,75.0,38.2655301227578,13.6
DMA,Dominica,212.0,2016,70.1284,8.017922938,100.277671,41.107778,32.4,8.12160003062,99.98353577,2.696705298013245,96.0,71.30507611100475,5.4
DNK,Denmark,208.0,2016,80.8803,13.16281986,100.9,-9875.187917,4.1,5.989999771,100.0,1.79,94.0,87.4250048120453,1.5
DOM,Dominican Republic,214.0,2016,72.9867,9.044050217,102.703904,3457.305457080882,35.0,7.28000021,98.90000153,2.387,85.0,63.8835024045267,6.8
DZA,Algeria,12.0,2016,75.7318,7.877038634,105.435418,1590.096852,24.8,10.19999981,99.35025024,3.052,94.0,25.4773705466379,2.8
ECU,Ecuador,218.0,2016,76.7634,8.692919731,102.056869,3457.305457080882,14.8,4.599999905,98.69999695,2.475,86.0,69.1141431171461,9.7
EGY,Egypt,818.0,2016,70.8435,8.806776914,134.431459,7900.2,22.5,12.40999985,100.0,3.41,95.0,32.997947170074,4.6
ESP,Spain,724.0,2016,83.0411,10.01107979,101.6783,-12376.14288,3.3,19.62999916,100.0,1.34,97.0,82.5141532199161,1.5
EST,Estonia,233.0,2016,77.8201,13.51035023,100.8273,572.485336,2.8,6.760000229,100.0,1.6,93.0,79.901303191662,1.5
ETH,Ethiopia,231.0,2016,64.3919,2.681135178,107.258998,3457.305457080882,59.0,2.288000107,42.90000153,4.456,57.0,85.2547347048067,14.4
FIN,Finland,246.0,2016,81.2915,12.68652487,99.26,-15694.42673,2.4,8.819999695,100.0,1.57,94.0,88.1278289806587,1.5
FJI,Fiji,242.0,2016,67.2395,10.49146872,104.045442,406.263426,24.9,4.320000172,96.56174469,2.797,96.0,50.0719353174868,6.3
FRA,France,250.0,2016,82.4372,11.35085964,100.73,-41770.67477,4.2,10.05000019,100.0,1.92,90.0,85.1601493826005,1.5
GAB,Gabon,266.0,2016,65.8025,9.094,100.193024,1198.36016,47.4,20.66900063,88.2038269,4.039,64.0,70.2300181405712,15.1
GBR,United Kingdom of Great Britain and Northern Ireland,826.0,2016,81.0747,13.07054679,97.9,296304.4975,4.4,4.809999943,100.0,1.79,92.0,83.7801990384157,1.5
GEO,Georgia,268.0,2016,73.5692,12.81457043,103.633275,1245.40446,10.2,16.60000038,100.0,2.059,93.0,71.7411791934184,8.3
GHA,Ghana,288.0,2016,63.8902,7.919448013,109.687808,3470.6,52.2,5.52699995,79.30000305,3.984,89.0,88.7132395216279,7.7
GMB,Gambia,270.0,2016,63.0127,4.02814688,112.652111,-26.3,57.4,9.498000145,56.32740784,5.338,97.0,74.2529344928889,11.6
GRC,Greece,300.0,2016,81.1617,10.25430012,99.25755,4432.188005,4.4,23.54000092,100.0,1.38,97.0,75.2552955473911,1.5
GTM,Guatemala,320.0,2016,72.3547,5.774713993,112.8665,964.99596,27.3,2.579999924,91.81558228,2.973,89.0,47.8163680863166,16.4
HKG,"China, Hong Kong SAR",344.0,2016,84.539,12.09660006,104.514294,57684.17663,28.87748344370861,3.390000105,100.0,1.205,86.99337748344371,79.8833411843135,1.5
