M49_Code,Country_Name,ISO3_Code,CPI_Food_2016,CPI_Food_2017,CPI_Food_2018,CPI_Food_2019,CPI_Food_2020,CPI_Food_Avg
4,Afghanistan,AFG,108.916832,113.832502,113.490296,119.067918,128.002089,116.66192740000001
248,Åland Islands,ALA,99.614148,100.5842,101.354238,104.514337,103.324285,101.8782416
8,Albania,ALB,104.588667,107.497139,110.638289,113.430423,116.338895,110.49868260000001
12,Algeria,DZA,105.435418,111.015653,110.86839,110.615938,113.340313,110.25514240000003
20,Andorra,AND,101.932302,104.825577,106.828613,108.49781,109.610608,106.33898200000002
24,Angola,AGO,154.136774,183.757815,211.993524,252.263872,330.372845,226.50496599999997
660,Anguilla,AIA,100.158907,101.441055,104.085485,103.364277,103.328662,102.47567719999999
28,Antigua and Barbuda,ATG,99.949757,102.493493,106.792407,107.64954,109.660099,105.30905920000001
32,Argentina,ARG,119.206012,143.476356,216.878531,340.091177,483.12659,260.5557332
51,Armenia,ARM,98.137571,103.525785,105.20448,104.877866,110.065339,104.36220819999998
533,Aruba,ABW,98.776051,97.810679,108.869107,116.166803,113.29529,106.98358599999999
36,Australia,AUS,102.0419,101.84973,103.387085,106.077455,108.479571,104.3671482
40,Austria,AUT,101.1,104.3,105.1,106.0,109.0723,105.11446000000001
31,Azerbaijan,AZE,124.781488,137.525291,137.288192,142.912168,148.740532,138.24953420000003
44,Bahamas,BHS,98.397182,100.219352,101.374646,100.20996,104.417857,100.92379940000001
48,Bahrain,BHR,97.424711,101.903445,102.993171,105.725642,109.298875,103.46916879999999
50,Bangladesh,BGD,108.2819,116.000498,122.142365,129.304981,136.211324,122.3882136
52,Barbados,BRB,114.376464,121.945129,120.550901,135.506459,140.72365,126.6205206
112,Belarus,BLR,115.694397,120.59984,127.57051,133.005014,141.238025,127.62155720000001
56,Belgium,BEL,102.1507,104.2831,105.8205,106.2867,108.0026,105.30872
84,Belize,BLZ,99.201553,99.340829,98.723919,99.546054,102.805625,99.923596
204,Benin,BEN,98.81456,100.826915,101.594,96.63285,100.80699,99.735063
60,Bermuda,BMU,101.047604,104.336135,107.425362,110.215631,113.105552,107.2260568
64,Bhutan,BTN,108.381377,116.055391,120.706503,125.089988,143.796382,122.80592820000001
68,Bolivia (Plurinational State of),BOL,108.111846,110.954091,113.008593,115.232584,114.329014,112.32722560000002
70,Bosnia and Herzegovina,BIH,97.8111,99.5009,99.6182,101.0793,101.7047,99.94284
72,Botswana,BWA,104.29427,105.430148,105.225589,108.382356,112.275703,107.1216132
76,Brazil,BRA,114.3018,112.1666,116.6876,124.141857,141.626625,121.78489640000001
92,British Virgin Islands,VGB,101.919973,99.123472,100.214482,101.305492,102.396502,100.9919842
96,Brunei Darussalam,BRN,99.021323,101.225778,101.336234,100.926443,105.672775,101.6365106
100,Bulgaria,BGR,100.490613,104.336471,107.007477,114.476757,116.637022,108.589668
854,Burkina Faso,BFA,98.316135,104.243617,103.823713,98.208717,103.618644,101.6421652
108,Burundi,BDI,119.335339,130.898975,111.062494,120.871743,136.130575,123.6598252
132,Cabo Verde,CPV,100.424339,99.32918,100.100364,104.367955,101.698239,101.18401539999999
116,Cambodia,KHM,108.19555,110.232083,112.32988,116.106655,121.605188,113.69387120000002
120,Cameroon,CMR,100.59845,101.965277,104.1522,106.976975,110.712969,104.88117419999999
124,Canada,CAN,98.58939,100.0767,102.5556,105.8136,106.3802,102.683098
136,Cayman Islands,CYM,100.184057,101.47954,106.143281,109.511538,114.866203,106.4369238
148,Chad,TCD,89.025426,90.912186,86.781599,86.673816,91.136924,88.90599019999999
152,Chile,CHL,104.5233,107.0929,110.1873,114.3097,123.0354,111.82972
344,"China, Hong Kong SAR",HKG,104.514294,106.43787,110.41326,125.288914,128.623112,115.05549
446,"China, Macao SAR",MAC,103.063577,105.461414,108.401748,114.152216,114.770662,109.16992339999999
156,"China, mainland",F41,103.5191,104.0011,106.5891,121.4388,118.3608,110.78178
170,Colombia,COL,112.482,113.0231,115.13,121.8075,127.6561,118.01974
174,Comoros,COM,102.279388,104.323054,104.935094,114.541568,107.004944,106.61680959999998
