ISO3_Code,Country_Name,M49_Code,Corruption_Perception_Index_2020,Corruption_Perception_Index_2019,Corruption_Perception_Index_2018,Corruption_Perception_Index_2017,Corruption_Perception_Index_2016,Corruption_Perception_Index_Avg
DNK,Denmark,208.0,88.0,87.0,88.0,88.0,90.0,88.2
NZL,New Zealand,554.0,88.0,87.0,87.0,89.0,90.0,88.2
FIN,Finland,246.0,85.0,86.0,85.0,85.0,89.0,86.0
SGP,Singapore,702.0,85.0,85.0,85.0,84.0,84.0,84.6
SWE,Sweden,752.0,85.0,85.0,85.0,84.0,88.0,85.4
CHE,Switzerland,756.0,85.0,85.0,85.0,85.0,86.0,85.2
NOR,Norway,578.0,84.0,84.0,84.0,85.0,85.0,84.4
NLD,Netherlands,528.0,82.0,82.0,82.0,82.0,83.0,82.2
DEU,Germany,276.0,80.0,80.0,80.0,81.0,81.0,80.4
LUX,Luxembourg,442.0,80.0,80.0,81.0,82.0,81.0,80.8
AUS,Australia,36.0,77.0,77.0,77.0,77.0,79.0,77.4
CAN,Canada,124.0,77.0,77.0,81.0,82.0,82.0,79.8
HKG,"China, Hong Kong SAR",344.0,77.0,76.0,76.0,77.0,77.0,76.6
GBR,United Kingdom of Great Britain and Northern Ireland,826.0,77.0,77.0,80.0,82.0,81.0,79.4
AUT,Austria,40.0,76.0,77.0,76.0,75.0,75.0,75.8
BEL,Belgium,56.0,76.0,75.0,75.0,75.0,77.0,75.6
EST,Estonia,233.0,75.0,74.0,73.0,71.0,70.0,72.6
ISL,Iceland,352.0,75.0,78.0,76.0,77.0,78.0,76.8
JPN,Japan,392.0,74.0,73.0,73.0,73.0,72.0,73.0
IRL,Ireland,372.0,72.0,74.0,73.0,74.0,73.0,73.2
ARE,United Arab Emirates,784.0,71.0,71.0,70.0,71.0,66.0,69.8
URY,Uruguay,858.0,71.0,71.0,70.0,70.0,71.0,70.6
FRA,France,250.0,69.0,69.0,72.0,70.0,69.0,69.8
BTN,Bhutan,64.0,68.0,68.0,68.0,67.0,65.0,67.2
CHL,Chile,152.0,67.0,67.0,67.0,67.0,66.0,66.8
USA,United States of America,840.0,67.0,69.0,71.0,75.0,74.0,71.2
SYC,Seychelles,690.0,66.0,66.0,66.0,60.0,,64.5
TWN,"China, Taiwan Province of",158.0,65.0,65.0,63.0,63.0,61.0,63.4
BRB,Barbados,52.0,64.0,62.0,68.0,68.0,61.0,64.6
BHS,Bahamas,44.0,63.0,64.0,65.0,65.0,66.0,64.6
QAT,Qatar,634.0,63.0,62.0,62.0,63.0,61.0,62.2
ESP,Spain,724.0,62.0,62.0,58.0,57.0,58.0,59.4
KOR,Republic of Korea,410.0,61.0,59.0,57.0,54.0,53.0,56.8
PRT,Portugal,620.0,61.0,62.0,64.0,63.0,62.0,62.4
BWA,Botswana,72.0,60.0,61.0,61.0,61.0,60.0,60.6
BRN,Brunei Darussalam,96.0,60.0,60.0,63.0,62.0,58.0,60.6
ISR,Israel,376.0,60.0,60.0,61.0,62.0,64.0,61.4
LTU,Lithuania,440.0,60.0,60.0,59.0,59.0,59.0,59.4
SVN,Slovenia,705.0,60.0,60.0,60.0,61.0,61.0,60.4
VCT,Saint Vincent and the Grenadines,670.0,59.0,59.0,58.0,58.0,60.0,58.8
CPV,Cabo Verde,132.0,58.0,58.0,57.0,55.0,59.0,57.4
