ISO3_Code,Country_Name,M49_Code,External_Debt_Stock_2016,External_Debt_Stock_2017,External_Debt_Stock_2018,External_Debt_Stock_2019,External_Debt_Stock_2020,External_Debt_Stock_Avg
AFG,Afghanistan,4.0,2596050086.4,2751986638.9,2678760424.2,2661685956.5,3036369312.4,2744970483.68
ALB,Albania,8.0,8516222980.3,9801454504.1,9875849866.7,9556855648.5,10859239096.8,9721924419.280003
DZA,Algeria,12.0,5462929063.8,5706735537.1,5710413690.0,5492302707.3,5178215526.0,5510119304.84
ASM,American Samoa,16.0,,,,,,
AND,Andorra,20.0,,,,,,
AGO,Angola,24.0,57827339857.2,59175902494.2,63217528196.5,64446155980.0,67286794415.2,62390744188.619995
ATG,Antigua and Barbuda,28.0,,,,,,
ARG,Argentina,32.0,181638508190.7,225925335186.1,277827278079.2,281723792002.3,253760056780.7,244174994047.8
ARM,Armenia,51.0,9855623087.1,10228295738.5,10725730268.9,11884488146.3,13093864395.5,11157600327.26
ABW,Aruba,533.0,,,,,,
AUS,Australia,36.0,,,,,,
AUT,Austria,40.0,,,,,,
AZE,Azerbaijan,31.0,14590007638.9,15300924031.7,16211029569.5,15840362634.9,15811923784.2,15550849531.84
BHS,Bahamas,44.0,,,,,,
BHR,Bahrain,48.0,,,,,,
BGD,Bangladesh,50.0,38480571897.7,46819123464.6,52138401714.0,57094167969.9,67749043920.7,52456261793.37999
BRB,Barbados,52.0,,,,,,
BLR,Belarus,112.0,37515947697.5,39584221158.1,38767563257.0,40734118642.4,42491219492.3,39818614049.46
BEL,Belgium,56.0,,,,,,
BLZ,Belize,84.0,1290298702.5,1338924309.2,1348898447.4,1377529086.7,1526004210.8,1376330951.3200002
BEN,Benin,204.0,2258065494.5,2794440257.3,3585946329.5,3877755764.1,5250479649.2,3553337498.9199996
BMU,Bermuda,60.0,,,,,,
BTN,Bhutan,64.0,2289670352.4,2607949876.9,2551977085.0,2703804731.6,2868979841.7,2604476377.5199995
BOL,Bolivia (Plurinational State of),68.0,10994252972.4,12990057752.2,13248377783.1,14301150537.3,15421072053.6,13390982219.72
BIH,Bosnia and Herzegovina,70.0,11630871769.5,13028529320.1,13253889164.0,13231145802.7,14263489883.9,13081585188.04
BWA,Botswana,72.0,2126448971.8,1741386786.6,1782037130.2,1565096393.6,1597427934.6,1762479443.36
BRA,Brazil,76.0,543257228545.3,543000326110.9,557742529191.2,568645874141.1,549234311520.2,552376053901.74
VGB,British Virgin Islands,92.0,,,,,,
BRN,Brunei Darussalam,96.0,,,,,,
BGR,Bulgaria,100.0,39994027753.1,40989144703.6,40103457338.4,40501402414.8,43347397245.2,40987085891.020004
BFA,Burkina Faso,854.0,2863797381.9,3166766915.9,3317745777.5,3686905203.1,4494781776.5,3505999410.9800005
BDI,Burundi,108.0,602774776.7,606820362.7,584975019.0,593889381.1,625985283.6,602888964.62
