ISO3_Code,Country_Name,M49_Code,Fertility_Rate_2016,Fertility_Rate_2017,Fertility_Rate_2018,Fertility_Rate_2019,Fertility_Rate_2020,Fertility_Rate_Avg
AFG,Afghanistan,4.0,4.8,4.633,4.473,4.321,4.176,4.4806
ALB,Albania,8.0,1.659,1.638,1.617,1.597,1.58,1.6181999999999999
DZA,Algeria,12.0,3.052,3.045,3.023,2.988,2.942,3.01
ASM,American Samoa,16.0,,,,,,
AND,Andorra,20.0,,,,,,
AGO,Angola,24.0,5.686,5.6,5.519,5.442,5.371,5.5236
ATG,Antigua and Barbuda,28.0,2.003,1.999,1.994,1.987,1.978,1.9922
ARG,Argentina,32.0,2.288,2.275,2.261,2.247,2.233,2.2608
ARM,Armenia,51.0,1.744,1.75,1.755,1.758,1.76,1.7533999999999998
ABW,Aruba,533.0,1.872,1.886,1.896,1.901,1.901,1.8912
AUS,Australia,36.0,1.752,1.741,1.74,1.657,1.581,1.6942
AUT,Austria,40.0,1.53,1.52,1.47,1.46,1.44,1.484
AZE,Azerbaijan,31.0,1.9,1.75,1.73,1.81,1.7,1.7779999999999998
BHS,Bahamas,44.0,1.771,1.762,1.752,1.743,1.733,1.7522000000000002
BHR,Bahrain,48.0,2.033,2.01,1.987,1.964,1.942,1.9872
BGD,Bangladesh,50.0,2.09,2.062,2.036,2.011,1.987,2.0371999999999995
BRB,Barbados,52.0,1.613,1.615,1.619,1.623,1.628,1.6195999999999997
BLR,Belarus,112.0,1.733,1.541,1.448,1.382,1.382,1.4971999999999999
BEL,Belgium,56.0,1.68,1.65,1.62,1.6,1.55,1.6200000000000003
BLZ,Belize,84.0,2.391,2.346,2.307,2.274,2.246,2.3128
BEN,Benin,204.0,4.977,4.906,4.836,4.767,4.7,4.8372
BMU,Bermuda,60.0,1.4,1.4,1.3,1.3,1.3,1.3399999999999999
BTN,Bhutan,64.0,2.014,1.994,1.975,1.954,1.931,1.9736
BOL,Bolivia (Plurinational State of),68.0,2.829,2.777,2.73,2.688,2.651,2.7350000000000003
BIH,Bosnia and Herzegovina,70.0,1.286,1.276,1.265,1.254,1.243,1.2648
BWA,Botswana,72.0,2.942,2.91,2.874,2.836,2.796,2.8716
BRA,Brazil,76.0,1.747,1.739,1.73,1.719,1.706,1.7282
VGB,British Virgin Islands,92.0,,,,,,
BRN,Brunei Darussalam,96.0,1.915,1.881,1.848,1.819,1.796,1.8518000000000001
BGR,Bulgaria,100.0,1.54,1.56,1.56,1.58,1.56,1.56
BFA,Burkina Faso,854.0,5.353,5.271,5.189,5.109,5.029,5.190199999999999
BDI,Burundi,108.0,5.599,5.502,5.41,5.321,5.237,5.4138
CPV,Cabo Verde,132.0,2.346,2.309,2.274,2.242,2.213,2.2768
KHM,Cambodia,116.0,2.559,2.53,2.503,2.478,2.453,2.5046
CMR,Cameroon,120.0,4.708,4.639,4.572,4.506,4.443,4.573600000000001
CAN,Canada,124.0,1.59,1.54,1.5,1.47,1.4,1.5
CYM,Cayman Islands,136.0,,,,,,
CAF,Central African Republic,140.0,4.87,4.796,4.721,4.645,4.568,4.720000000000001
TCD,Chad,148.0,5.947,5.846,5.747,5.649,5.553,5.7484
CHL,Chile,152.0,1.713,1.678,1.649,1.627,1.611,1.6556000000000002
CHN,China,159.0,1.675,1.683,1.69,1.696,1.7,1.6887999999999999
COL,Colombia,170.0,1.843,1.825,1.807,1.789,1.771,1.807
COM,Comoros,174.0,4.347,4.275,4.205,4.138,4.073,4.2076
COD,Democratic Republic of the Congo,180.0,6.112,6.017,5.919,5.819,5.718,5.917
COG,Congo,178.0,4.536,4.482,4.428,4.374,4.321,4.4281999999999995
CRI,Costa Rica,188.0,1.789,1.772,1.754,1.737,1.721,1.7546
CIV,Côte d'Ivoire,384.0,4.759,4.704,4.649,4.593,4.536,4.6482
HRV,Croatia,191.0,1.43,1.42,1.47,1.47,1.48,1.454
CUB,Cuba,192.0,1.656,1.637,1.618,1.602,1.59,1.6206000000000003
CUW,Curaçao,531.0,1.7,1.5,1.7,1.6,1.6,1.6199999999999999
CYP,Cyprus,196.0,1.345,1.337,1.329,1.321,1.313,1.329
CZE,Czechia,203.0,1.63,1.69,1.71,1.71,1.71,1.69
DNK,Denmark,208.0,1.79,1.75,1.73,1.7,1.67,1.7280000000000002
DJI,Djibouti,262.0,2.846,2.785,2.728,2.676,2.627,2.7323999999999997
DMA,Dominica,212.0,,,,,,
DOM,Dominican Republic,214.0,2.387,2.367,2.346,2.323,2.299,2.3444
ECU,Ecuador,218.0,2.475,2.451,2.427,2.403,2.38,2.4272
EGY,Egypt,818.0,3.41,3.37,3.326,3.28,3.236,3.3244
SLV,El Salvador,222.0,2.079,2.059,2.039,2.021,2.002,2.04
GNQ,Equatorial Guinea,226.0,4.686,4.599,4.513,4.429,4.346,4.5146
ERI,Eritrea,232.0,4.164,4.112,4.056,3.997,3.933,4.0524000000000004
EST,Estonia,233.0,1.6,1.59,1.67,1.66,1.58,1.6200000000000003
SWZ,Eswatini,748.0,3.041,3.018,2.99,2.958,2.919,2.9852
ETH,Ethiopia,231.0,4.456,4.35,4.247,4.146,4.049,4.2496
FRO,Faroe Islands,234.0,2.6,2.5,2.5,2.4,2.3,2.46
FJI,Fiji,242.0,2.797,2.788,2.774,2.754,2.729,2.7683999999999997
FIN,Finland,246.0,1.57,1.49,1.41,1.35,1.37,1.4380000000000002
FRA,France,250.0,1.92,1.89,1.87,1.86,1.83,1.874
PYF,French Polynesia,258.0,1.973,1.956,1.941,1.927,1.913,1.9420000000000002
GAB,Gabon,266.0,4.039,4.008,3.969,3.922,3.869,3.9614000000000003
GMB,Gambia,270.0,5.338,5.281,5.219,5.154,5.087,5.2158
GEO,Georgia,268.0,2.059,2.062,2.06,2.055,2.046,2.0564
DEU,Germany,276.0,1.6,1.57,1.57,1.54,1.53,1.562
GHA,Ghana,288.0,3.984,3.926,3.87,3.816,3.765,3.8722000000000003
GIB,Gibraltar,292.0,,,,,,
GRC,Greece,300.0,1.38,1.35,1.35,1.34,1.34,1.3519999999999999
GRL,Greenland,304.0,2.0,2.09,2.0,2.08,2.019,2.0378
GRD,Grenada,308.0,2.104,2.083,2.063,2.042,2.023,2.0629999999999997
GUM,Guam,316.0,2.358,2.334,2.313,2.293,2.275,2.3146000000000004
GTM,Guatemala,320.0,2.973,2.92,2.87,2.822,2.777,2.8724000000000003
GIN,Guinea,324.0,4.854,4.777,4.7,4.625,4.552,4.7016
GNB,Guinea-Bissau,624.0,4.631,4.553,4.476,4.402,4.331,4.4786
GUY,Guyana,328.0,2.509,2.485,2.462,2.44,2.418,2.4628
HTI,Haiti,332.0,3.041,2.986,2.935,2.887,2.842,2.9382
HND,Honduras,340.0,2.536,2.496,2.46,2.427,2.394,2.4626
HKG,"China, Hong Kong SAR",344.0,1.205,1.125,1.072,1.051,0.868,1.0642
HUN,Hungary,348.0,1.53,1.54,1.55,1.55,1.56,1.546
