ISO3_Code,Country_Name,M49_Code,Immunization_Measles_2016,Immunization_Measles_2017,Immunization_Measles_2018,Immunization_Measles_2019,Immunization_Measles_2020,Immunization_Measles_Avg
AFG,Afghanistan,4.0,64.0,67.0,71.0,64.0,66.0,66.4
ALB,Albania,8.0,96.0,96.0,94.0,95.0,91.0,94.4
DZA,Algeria,12.0,94.0,88.0,80.0,80.0,80.0,84.4
ASM,American Samoa,16.0,,,,,,
AND,Andorra,20.0,97.0,99.0,99.0,99.0,98.0,98.4
AGO,Angola,24.0,45.0,42.0,50.0,51.0,44.0,46.4
ATG,Antigua and Barbuda,28.0,88.0,99.0,96.0,93.0,89.0,93.0
ARG,Argentina,32.0,90.0,89.0,94.0,86.0,77.0,87.2
ARM,Armenia,51.0,97.0,96.0,95.0,95.0,94.0,95.4
ABW,Aruba,533.0,,,,,,
AUS,Australia,36.0,95.0,94.0,94.0,94.0,93.0,94.0
AUT,Austria,40.0,95.0,96.0,94.0,95.0,95.0,95.0
AZE,Azerbaijan,31.0,98.0,98.0,96.0,98.0,82.0,94.4
BHS,Bahamas,44.0,89.0,90.0,89.0,83.0,87.0,87.6
BHR,Bahrain,48.0,99.0,99.0,99.0,99.0,99.0,99.0
BGD,Bangladesh,50.0,97.0,97.0,97.0,97.0,97.0,97.0
BRB,Barbados,52.0,92.0,92.0,85.0,92.0,89.0,90.0
BLR,Belarus,112.0,98.0,97.0,98.0,98.0,97.0,97.6
BEL,Belgium,56.0,96.0,96.0,96.0,96.0,96.0,96.0
BLZ,Belize,84.0,95.0,90.0,97.0,96.0,82.0,92.0
BEN,Benin,204.0,68.0,68.0,68.0,68.0,65.0,67.4
BMU,Bermuda,60.0,,,,,,
BTN,Bhutan,64.0,97.0,97.0,97.0,97.0,93.0,96.2
BOL,Bolivia (Plurinational State of),68.0,94.0,83.0,89.0,79.0,74.0,83.8
BIH,Bosnia and Herzegovina,70.0,68.0,69.0,68.0,68.0,68.0,68.2
BWA,Botswana,72.0,97.0,97.0,97.0,97.0,87.0,95.0
BRA,Brazil,76.0,95.0,91.0,92.0,91.0,79.0,89.6
VGB,British Virgin Islands,92.0,,,,,,
BRN,Brunei Darussalam,96.0,98.0,97.0,99.0,97.0,99.0,98.0
BGR,Bulgaria,100.0,92.0,94.0,93.0,95.0,88.0,92.4
BFA,Burkina Faso,854.0,88.0,88.0,88.0,88.0,88.0,88.0
BDI,Burundi,108.0,93.0,90.0,88.0,92.0,90.0,90.6
CPV,Cabo Verde,132.0,93.0,96.0,99.0,98.0,95.0,96.2
KHM,Cambodia,116.0,84.0,84.0,84.0,84.0,84.0,84.0
CMR,Cameroon,120.0,71.0,65.0,59.0,60.0,62.0,63.4
CAN,Canada,124.0,89.0,90.0,90.0,90.0,90.0,89.8
CYM,Cayman Islands,136.0,,,,,,
CAF,Central African Republic,140.0,45.0,41.0,41.0,41.0,41.0,41.8
TCD,Chad,148.0,37.0,37.0,42.0,41.0,47.0,40.8
CHL,Chile,152.0,93.0,93.0,93.0,95.0,91.0,93.0
CHN,China,159.0,99.0,99.0,99.0,99.0,99.0,99.0
COL,Colombia,170.0,93.0,93.0,95.0,95.0,90.0,93.2
COM,Comoros,174.0,90.0,90.0,90.0,90.0,89.0,89.8
COD,Democratic Republic of the Congo,180.0,63.0,65.0,64.0,65.0,62.0,63.8
COG,Congo,178.0,67.0,70.0,75.0,73.0,68.0,70.6
CRI,Costa Rica,188.0,93.0,96.0,94.0,95.0,95.0,94.6
CIV,Côte d'Ivoire,384.0,73.0,70.0,75.0,73.0,66.0,71.4
HRV,Croatia,191.0,90.0,89.0,93.0,93.0,91.0,91.2
CUB,Cuba,192.0,99.0,99.0,99.0,99.0,98.0,98.8
CUW,Curaçao,531.0,,,,,,
CYP,Cyprus,196.0,90.0,90.0,90.0,86.0,86.0,88.4
CZE,Czechia,203.0,98.0,97.0,96.0,92.0,94.0,95.4
DNK,Denmark,208.0,94.0,97.0,95.0,96.0,94.0,95.2
DJI,Djibouti,262.0,75.0,81.0,86.0,83.0,62.0,77.4
DMA,Dominica,212.0,96.0,77.0,84.0,92.0,92.0,88.2
DOM,Dominican Republic,214.0,85.0,86.0,91.0,96.0,82.0,88.0
ECU,Ecuador,218.0,86.0,81.0,83.0,83.0,81.0,82.8
EGY,Egypt,818.0,95.0,94.0,94.0,95.0,94.0,94.4
SLV,El Salvador,222.0,90.0,85.0,81.0,82.0,71.0,81.8
GNQ,Equatorial Guinea,226.0,53.0,53.0,53.0,53.0,53.0,53.0
ERI,Eritrea,232.0,95.0,93.0,93.0,93.0,93.0,93.4
EST,Estonia,233.0,93.0,93.0,87.0,88.0,91.0,90.4
SWZ,Eswatini,748.0,89.0,89.0,85.0,81.0,76.0,84.0
ETH,Ethiopia,231.0,57.0,59.0,55.0,58.0,60.0,57.8
FRO,Faroe Islands,234.0,,,,,,
FJI,Fiji,242.0,96.0,96.0,96.0,96.0,96.0,96.0
FIN,Finland,246.0,94.0,94.0,96.0,96.0,95.0,95.0
FRA,France,250.0,90.0,90.0,90.0,92.0,92.0,90.8
PYF,French Polynesia,258.0,,,,,,
GAB,Gabon,266.0,64.0,63.0,59.0,62.0,53.0,60.2
GMB,Gambia,270.0,97.0,90.0,91.0,85.0,82.0,89.0
GEO,Georgia,268.0,93.0,95.0,98.0,99.0,91.0,95.2
DEU,Germany,276.0,97.0,97.0,97.0,97.0,97.0,97.0
GHA,Ghana,288.0,89.0,95.0,92.0,92.0,88.0,91.2
GIB,Gibraltar,292.0,,,,,,
GRC,Greece,300.0,97.0,97.0,97.0,97.0,97.0,97.0
GRL,Greenland,304.0,,,,,,
GRD,Grenada,308.0,95.0,85.0,84.0,94.0,83.0,88.2
GUM,Guam,316.0,,,,,,
GTM,Guatemala,320.0,89.0,94.0,89.0,90.0,88.0,90.0
GIN,Guinea,324.0,47.0,47.0,47.0,47.0,47.0,47.0
GNB,Guinea-Bissau,624.0,80.0,66.0,79.0,79.0,72.0,75.2
GUY,Guyana,328.0,99.0,99.0,98.0,98.0,98.0,98.4
HTI,Haiti,332.0,69.0,69.0,69.0,65.0,65.0,67.4
HND,Honduras,340.0,98.0,98.0,91.0,89.0,82.0,91.6
HKG,"China, Hong Kong SAR",344.0,,,,,,
HUN,Hungary,348.0,99.0,99.0,99.0,99.0,99.0,99.0
ISL,Iceland,352.0,91.0,92.0,93.0,93.0,93.0,92.4
IND,India,356.0,88.0,90.0,93.0,95.0,89.0,91.0
IDN,Indonesia,360.0,88.0,90.0,89.0,88.0,76.0,86.2
IRN,Iran (Islamic Republic of),364.0,99.0,99.0,99.0,99.0,99.0,99.0
IRQ,Iraq,368.0,79.0,81.0,85.0,82.0,76.0,80.6
IRL,Ireland,372.0,92.0,92.0,92.0,91.0,92.0,91.8
IMN,Isle of Man,833.0,,,,,,
ISR,Israel,376.0,97.0,98.0,98.0,99.0,99.0,98.2
ITA,Italy,380.0,87.0,92.0,93.0,94.0,92.0,91.6
JAM,Jamaica,388.0,95.0,95.0,89.0,94.0,93.0,93.2
JPN,Japan,392.0,96.0,97.0,97.0,96.0,98.0,96.8
JOR,Jordan,400.0,96.0,93.0,92.0,87.0,76.0,88.8
KAZ,Kazakhstan,398.0,99.0,99.0,99.0,99.0,93.0,97.8
KEN,Kenya,404.0,96.0,89.0,89.0,89.0,88.0,90.2
KIR,Kiribati,296.0,80.0,81.0,84.0,94.0,82.0,84.2
PRK,Democratic People's Republic of Korea,408.0,99.0,99.0,98.0,98.0,99.0,98.6
KOR,Republic of Korea,410.0,98.0,97.0,98.0,98.0,98.0,97.8
KWT,Kuwait,414.0,99.0,99.0,98.0,97.0,95.0,97.6
KGZ,Kyrgyzstan,417.0,97.0,95.0,96.0,96.0,92.0,95.2
LAO,Lao People's Democratic Republic,418.0,81.0,86.0,86.0,83.0,79.0,83.0
LVA,Latvia,428.0,93.0,96.0,98.0,99.0,99.0,97.0
LBN,Lebanon,422.0,82.0,82.0,82.0,82.0,74.0,80.4
LSO,Lesotho,426.0,90.0,90.0,90.0,90.0,90.0,90.0
LBR,Liberia,430.0,70.0,75.0,74.0,68.0,61.0,69.6
LBY,Libya,434.0,97.0,94.0,73.0,73.0,73.0,82.0
LIE,Liechtenstein,438.0,,,,,,
LTU,Lithuania,440.0,94.0,94.0,92.0,93.0,90.0,92.6
LUX,Luxembourg,442.0,99.0,99.0,99.0,99.0,99.0,99.0
MAC,"China, Macao SAR",446.0,,,,,,
MDG,Madagascar,450.0,62.0,55.0,52.0,55.0,50.0,54.8
MWI,Malawi,454.0,81.0,83.0,87.0,92.0,90.0,86.6
MYS,Malaysia,458.0,93.0,93.0,96.0,97.0,95.0,94.8
MDV,Maldives,462.0,99.0,99.0,99.0,99.0,99.0,99.0
MLI,Mali,466.0,70.0,70.0,70.0,70.0,62.0,68.4
MLT,Malta,470.0,93.0,91.0,96.0,96.0,95.0,94.2
MHL,Marshall Islands,584.0,75.0,83.0,83.0,85.0,89.0,83.0
MRT,Mauritania,478.0,73.0,75.0,78.0,75.0,70.0,74.2
MUS,Mauritius,480.0,92.0,89.0,99.0,99.0,89.0,93.6
MEX,Mexico,484.0,96.0,76.0,97.0,73.0,92.0,86.8
FSM,Micronesia (Federated States of),583.0,70.0,76.0,73.0,78.0,79.0,75.2
MDA,Republic of Moldova,498.0,88.0,93.0,93.0,97.0,84.0,91.0
MCO,Monaco,492.0,89.0,88.0,88.0,88.0,88.0,88.2
MNG,Mongolia,496.0,98.0,99.0,99.0,98.0,97.0,98.2
MNE,Montenegro,499.0,47.0,58.0,42.0,33.0,24.0,40.8
MAR,Morocco,504.0,99.0,99.0,99.0,99.0,99.0,99.0
MOZ,Mozambique,508.0,87.0,87.0,87.0,87.0,81.0,85.8
MMR,Myanmar,104.0,91.0,83.0,93.0,84.0,91.0,88.4
NAM,Namibia,516.0,75.0,80.0,82.0,80.0,90.0,81.4
NRU,Nauru,520.0,98.0,95.0,99.0,95.0,98.0,97.0
NPL,Nepal,524.0,83.0,90.0,91.0,92.0,87.0,88.6
NLD,Netherlands,528.0,94.0,93.0,93.0,94.0,94.0,93.6
NCL,New Caledonia,540.0,,,,,,
NZL,New Zealand,554.0,92.0,93.0,92.0,92.0,91.0,92.0
NIC,Nicaragua,558.0,99.0,99.0,99.0,99.0,97.0,98.6
