ISO3_Code,Country_Name,M49_Code,Infant_Mortality_Rate_2016,Infant_Mortality_Rate_2017,Infant_Mortality_Rate_2018,Infant_Mortality_Rate_2019,Infant_Mortality_Rate_2020,Infant_Mortality_Rate_Avg
AFG,Afghanistan,4.0,67.5,64.8,62.3,60.1,58.0,62.540000000000006
ALB,Albania,8.0,9.4,9.4,9.5,9.7,9.8,9.559999999999999
DZA,Algeria,12.0,24.8,24.3,23.8,23.3,22.7,23.78
ASM,American Samoa,16.0,,,,,,
AND,Andorra,20.0,3.2,3.0,2.8,2.7,2.5,2.84
AGO,Angola,24.0,84.1,80.6,77.3,74.2,71.5,77.53999999999999
ATG,Antigua and Barbuda,28.0,7.4,7.1,6.9,6.6,6.4,6.88
ARG,Argentina,32.0,10.9,10.3,9.7,9.1,8.6,9.72
ARM,Armenia,51.0,13.4,12.7,12.1,11.5,10.9,12.120000000000001
ABW,Aruba,533.0,,,,,,
AUS,Australia,36.0,3.8,3.8,3.7,3.7,3.7,3.7399999999999998
AUT,Austria,40.0,3.6,3.6,3.6,3.6,3.6,3.6
AZE,Azerbaijan,31.0,24.5,22.8,21.5,20.4,19.4,21.72
BHS,Bahamas,44.0,13.7,13.3,13.0,22.4,12.3,14.940000000000001
BHR,Bahrain,48.0,7.5,7.3,7.1,7.0,6.8,7.139999999999999
BGD,Bangladesh,50.0,36.1,34.2,32.4,30.7,29.1,32.5
BRB,Barbados,52.0,13.7,13.4,13.0,12.6,12.2,12.98
BLR,Belarus,112.0,3.9,3.6,3.4,3.1,2.9,3.38
BEL,Belgium,56.0,4.1,4.1,4.2,4.2,4.2,4.159999999999999
BLZ,Belize,84.0,14.5,13.7,12.9,12.3,11.7,13.020000000000001
BEN,Benin,204.0,95.4,93.2,90.9,88.4,85.9,90.75999999999999
BMU,Bermuda,60.0,,,,,,
BTN,Bhutan,64.0,31.9,30.7,29.6,28.6,27.6,29.679999999999996
BOL,Bolivia (Plurinational State of),68.0,29.9,28.6,27.4,26.3,25.4,27.52
BIH,Bosnia and Herzegovina,70.0,6.2,6.1,6.0,5.9,5.7,5.98
BWA,Botswana,72.0,49.2,47.8,47.0,45.9,44.8,46.94
