ISO3_Code,Country_Name,M49_Code,Labor_Force_Gender_Ratio_2016,Labor_Force_Gender_Ratio_2017,Labor_Force_Gender_Ratio_2018,Labor_Force_Gender_Ratio_2019,Labor_Force_Gender_Ratio_2020,Labor_Force_Gender_Ratio_Avg
AFG,Afghanistan,4.0,27.1038412375653,28.9361754413037,29.4739178697398,30.0098803224511,24.6858778957205,28.04193855335608
ALB,Albania,8.0,76.6604881917464,74.5183571677263,76.1208647546987,77.829119439077,75.8574481545003,76.19725554154972
DZA,Algeria,12.0,25.4773705466379,25.2636177431848,25.0532818615054,24.8778600511553,24.1241414205571,24.959254324608096
ASM,American Samoa,16.0,,,,,,
AND,Andorra,20.0,,,,,,
AGO,Angola,24.0,93.8053547304643,93.9264828466799,94.1019195082736,94.3309199504084,93.4262284145821,93.91818109008167
ATG,Antigua and Barbuda,28.0,,,,,,
ARG,Argentina,32.0,67.0664064718027,67.6967475057438,69.737121048085,70.4379197289097,70.5190413038846,69.09144721168516
ARM,Armenia,51.0,71.0751767702097,71.3920296807736,66.0791226833094,68.5374316759537,67.2182603892526,68.8604042398998
ABW,Aruba,533.0,,,,,,
AUS,Australia,36.0,84.0514207230873,84.6660105721004,85.2441495619991,85.7140863884792,85.965111246242,85.1281556983816
AUT,Austria,40.0,83.723335382459,83.6853239749318,83.3114761068965,83.5567332700303,84.0869513565137,83.67276401816625
AZE,Azerbaijan,31.0,90.3326187877734,90.3518680445281,90.7093386426792,90.8177576735683,88.8703613779578,90.21638890530136
BHS,Bahamas,44.0,92.4179135665402,92.4443243487589,92.6009697783544,92.776458341163,90.5396716188892,92.15586753074113
BHR,Bahrain,48.0,50.3528594921033,50.7216006175907,51.2469806444714,51.7142962024036,50.5256202280193,50.91227143691766
BGD,Bangladesh,50.0,41.8012189212087,45.0602111400487,45.2600711346385,45.3819431498933,43.9716398838606,44.295016845929965
BRB,Barbados,52.0,89.2274236656232,88.1947344335838,87.379324570731,89.6154422186879,87.5764454650535,88.3986740707359
BLR,Belarus,112.0,82.7045167704637,82.0338299298491,80.6324630958392,81.3964858579563,80.6414687538633,81.48175288159432
BEL,Belgium,56.0,81.3550624604442,82.3526476775414,83.8767093940339,84.2876271052249,84.3573143972422,83.24587220689732
BLZ,Belize,84.0,61.8917714455705,61.4115809071961,61.845175578091,61.9857853255183,60.4123290044822,61.50932845217162
BEN,Benin,204.0,94.8290854459268,95.085492611413,95.3772047366391,95.699388968029,95.6994808935357,95.3381305311087
BMU,Bermuda,60.0,,,,,,
BTN,Bhutan,64.0,78.5057834134298,78.1921197243798,77.7373713627262,77.2671263400641,76.1777920678274,77.57603858168547
BOL,Bolivia (Plurinational State of),68.0,73.2212640156102,75.6886401667044,79.4491292216721,75.2931136783232,73.6668537064432,75.46380015775063
BIH,Bosnia and Herzegovina,70.0,58.6208183813292,61.2644183657743,59.2661777243117,64.1367387370302,61.5526673338134,60.96816410845177
BWA,Botswana,72.0,84.9084410548527,85.7944234992409,86.6825414817812,87.5781325158709,86.1498725017271,86.22268221069456
BRA,Brazil,76.0,70.854286248901,72.4569060739238,73.004276734606,73.9107629468767,70.7926537556154,72.20377715198457
