ISO3_Code,Country_Name,M49_Code,Unemployment_2016,Unemployment_2017,Unemployment_2018,Unemployment_2019,Unemployment_2020,Unemployment_Avg
AFG,Afghanistan,4.0,11.15799999,11.18000031,11.15200043,11.21700001,11.71000004,11.283400155999999
ALB,Albania,8.0,15.42000008,13.61999989,12.30000019,11.47000027,13.32900047,13.22780018
DZA,Algeria,12.0,10.19999981,10.33300018,10.42000008,10.51299953,12.55000019,10.803199958
ASM,American Samoa,16.0,,,,,,
AND,Andorra,20.0,,,,,,
AGO,Angola,24.0,7.412000179,7.407999992,7.421000004,7.421000004,8.333000183,7.5990000724
ATG,Antigua and Barbuda,28.0,,,,,,
ARG,Argentina,32.0,8.111000061,8.350000381,9.220000267,9.840000153,11.46000004,9.396200180400001
ARM,Armenia,51.0,17.62000084,17.70000076,18.96999931,18.29999924,21.20599937,18.759199904
ABW,Aruba,533.0,,,,,,
AUS,Australia,36.0,5.710000038,5.590000153,5.300000191,5.159999847,6.460000038,5.6440000534
AUT,Austria,40.0,6.010000229,5.5,4.849999905,4.489999771,5.360000134,5.2420000078
AZE,Azerbaijan,31.0,5.0,5.0,4.900000095,4.849999905,6.462999821,5.2425999642
BHS,Bahamas,44.0,12.69999981,9.800000191,10.0,10.06099987,13.3210001,11.1763999942
BHR,Bahrain,48.0,1.190999985,1.182999969,1.200999975,1.19599998,1.781000018,1.3103999854
BGD,Bangladesh,50.0,4.349999905,4.369999886,4.413000107,4.438000202,5.413000107,4.5968000414
BRB,Barbados,52.0,8.25,8.619999886,8.319999695,8.409999847,10.37699986,8.7953998576
BLR,Belarus,112.0,5.840000153,5.650000095,4.760000229,4.159999847,4.768000126,5.035600090000001
BEL,Belgium,56.0,7.829999924,7.090000153,5.949999809,5.360000134,5.550000191,6.3560000422
BLZ,Belize,84.0,7.0,6.599999905,6.644000053,6.710999966,8.461999893,7.0833999634
BEN,Benin,204.0,1.827999949,1.644000053,1.470000029,1.470000029,1.583999991,1.5992000102000001
BMU,Bermuda,60.0,,,,,,
BTN,Bhutan,64.0,2.493000031,2.453000069,2.444000006,2.502000093,3.648999929,2.7082000255999996
BOL,Bolivia (Plurinational State of),68.0,3.5,3.650000095,3.519999981,3.819999933,7.900000095,4.478000020800001
BIH,Bosnia and Herzegovina,70.0,25.40999985,20.53000069,18.39999962,15.68999958,15.26500034,19.059000016000002
BWA,Botswana,72.0,21.02899933,21.56599998,22.07099915,22.61000061,24.93000031,22.441199876
BRA,Brazil,76.0,11.60000038,12.81999969,12.32999992,11.93000031,13.68999958,12.473999976
VGB,British Virgin Islands,92.0,,,,,,
BRN,Brunei Darussalam,96.0,8.383000374,9.319999695,8.699999809,6.920000076,7.68200016,8.201000022799999
BGR,Bulgaria,100.0,7.570000172,6.159999847,5.210000038,4.230000019,5.119999886,5.6579999924
BFA,Burkina Faso,854.0,4.434000015,4.563000202,4.690000057,4.69299984,4.894999981,4.655000018999999
BDI,Burundi,108.0,1.590000033,1.588999987,1.587000012,1.588999987,1.707000017,1.6124000072000002
CPV,Cabo Verde,132.0,12.00800037,12.23999977,12.17000008,12.21899986,15.30599976,12.788599968000002
KHM,Cambodia,116.0,0.720000029,0.140000001,0.143000007,0.147,0.331,0.2962000074
CMR,Cameroon,120.0,3.575000048,3.599999905,3.617000103,3.638000011,3.836999893,3.6533999920000007
CAN,Canada,124.0,7.0,6.340000153,5.829999924,5.659999847,9.460000038,6.857999992399999
CYM,Cayman Islands,136.0,,,,,,
CAF,Central African Republic,140.0,5.65199995,5.647999763,5.605000019,5.623000145,6.356999874,5.7769999502
TCD,Chad,148.0,1.103999972,1.118999958,1.129999995,1.123000026,1.741999984,1.243599987
CHL,Chile,152.0,6.739999771,6.960000038,7.230000019,7.289999962,11.18000031,7.88000002
CHN,China,159.0,4.53000021,4.440000057,4.28000021,4.519999981,5.0,4.5540000916
COL,Colombia,170.0,8.68999958,8.869999886,9.109999657,9.960000038,15.03999996,10.333999824200001
COM,Comoros,174.0,8.102000237,8.086000443,8.079000473,8.081999779,9.222999573,8.314400101
COD,Democratic Republic of the Congo,180.0,4.477000237,4.465000153,4.451000214,4.451000214,5.265999794,4.6220001224
COG,Congo,178.0,20.55900002,20.55900002,20.61400032,20.62199974,22.84300041,21.039400102000002
CRI,Costa Rica,188.0,8.600000381,8.140000343,9.630000114,11.48999977,17.40999985,11.054000091599999
CIV,Côte d'Ivoire,384.0,2.599999905,3.269999981,3.292999983,3.318000078,3.487999916,3.1937999726
HRV,Croatia,191.0,13.10000038,11.21000004,8.430000305,6.619999886,7.510000229,9.374000168
CUB,Cuba,192.0,2.0,1.700000048,1.700000048,1.735000014,2.624000072,1.9518000363999999
CUW,Curaçao,531.0,,,,,,
CYP,Cyprus,196.0,12.94999981,11.05000019,8.369999886,7.070000172,7.590000153,9.4060000422
CZE,Czechia,203.0,3.950000048,2.890000105,2.24000001,2.00999999,2.549999952,2.7280000210000006
