ISO3_Code,Country_Name,M49_Code,Life_Expectancy_2016,Life_Expectancy_2017,Life_Expectancy_2018,Life_Expectancy_2019,Life_Expectancy_2020,Life_Expectancy_Avg,Mean_Years_Of_Schooling_2016,Mean_Years_Of_Schooling_2017,Mean_Years_Of_Schooling_2018,Mean_Years_Of_Schooling_2019,Mean_Years_Of_Schooling_2020,Mean_Years_of_Schooling_Avg
AFG,Afghanistan,4.0,63.1361,63.016,63.081,63.5645,62.5751,63.07454,2.463660385,2.561424686,2.659188987,2.756953288,2.854717589,2.659188987
AGO,Angola,24.0,61.0923,61.6798,62.1438,62.4484,62.2612,61.9251,5.417390823,5.417390823,5.417390823,5.417390823,5.417390823,5.417390823
ALB,Albania,8.0,78.8602,79.0473,79.1838,79.2825,76.9893,78.67262000000002,10.72752833,10.91069206,11.09698316,11.28645502,11.28645502,11.061622717999999
AND,Andorra,20.0,82.9671,82.9803,82.9923,83.0039,79.0234,82.1934,10.55609989,10.55577309,10.5554463,10.55511952,10.55511952,10.555511663999999
ARE,United Arab Emirates,784.0,79.3347,79.5036,79.6274,79.7262,78.9457,79.42752,10.8426199,12.05539989,12.48400021,12.69402981,12.69402981,12.154015924000001
ARG,Argentina,32.0,76.3077,76.833,76.9994,77.2845,75.8921,76.66333999999999,10.92819023,11.01644516,11.10470009,11.14726927,11.14726927,11.068774804000002
ARM,Armenia,51.0,74.6639,74.9059,75.0645,75.4386,72.173,74.44918,11.37989998,11.18758965,11.23515987,11.2827301,11.33030033,11.283135986000001
ATG,Antigua and Barbuda,28.0,78.1516,78.2683,78.5112,78.6912,78.8406,78.49258,9.217008766,9.263093809,9.293740746,9.293740746,9.293740746,9.2722649626
AUS,Australia,36.0,82.8707,83.0006,83.3871,83.11,84.3239,83.33846,12.35210991,12.42234039,12.55362034,12.65668964,12.72681999,12.542316054
AUT,Austria,40.0,81.5925,81.6391,81.6862,81.9077,81.5036,81.66582000000001,12.11466026,12.15911961,12.20790482,12.25669003,12.25669003,12.19901295
AZE,Azerbaijan,31.0,72.0039,72.2478,72.7601,73.1023,66.8679,71.3964,10.55539989,10.54459953,10.54176044,10.5429697,10.5429697,10.545539852000001
BDI,Burundi,108.0,60.7931,61.5526,61.6884,62.3514,61.5663,61.59036,2.54513669,2.804970026,2.962684561,3.129266883,3.129266883,2.9142650086
BEL,Belgium,56.0,81.2661,81.3618,81.4787,81.8311,80.7884,81.34522,11.98532009,12.23692989,12.30630493,12.37567997,12.37567997,12.25598297
BEN,Benin,204.0,59.5394,59.8558,60.1403,60.4537,60.088,60.01544,3.863223294,4.010411011,4.157598728,4.304786445,4.304786445,4.128161184600001
BFA,Burkina Faso,854.0,59.3262,59.5361,60.0466,60.0391,59.7306,59.73572,1.602925003,1.761222512,1.91952002,2.114962259,2.114962259,1.9027184106
BGD,Bangladesh,50.0,71.09,71.7879,72.5675,72.8057,71.9678,72.04378,6.113890171,6.270249844,6.385879993,6.549980164,7.379059792,6.5398119928
BGR,Bulgaria,100.0,74.8336,74.7992,74.8983,75.0624,73.6453,74.64776,11.23243999,11.24269962,11.29952653,11.35635344,11.41318035,11.308839985999999
BHR,Bahrain,48.0,79.5569,79.689,79.8566,80.0186,79.1735,79.65892,9.322070122,9.586489677,10.54808998,10.79733992,11.04658985,10.260115909800001
BHS,Bahamas,44.0,73.5368,73.6317,73.8057,71.205,72.6766,72.97116,12.37662396,12.46443281,12.55286464,12.64192386,12.64192386,12.535553826000001
BIH,Bosnia and Herzegovina,70.0,76.8083,76.9349,77.0926,77.2412,76.2254,76.86048,9.692919731,9.752649784,9.812379837,10.17434978,10.53631973,9.993723772400001
BLR,Belarus,112.0,74.258,74.4519,74.5676,74.216,72.5132,74.00134,11.85758429,11.95291634,12.04824839,12.14358044,12.14358044,12.02918198
BLZ,Belize,84.0,73.3988,73.5624,73.7031,73.9313,72.854,73.48992,9.503048134,9.339186096,9.175324059,9.011462021,8.847599983,9.175324058600001
BOL,Bolivia (Plurinational State of),68.0,67.6277,67.7015,67.748,67.841,64.4667,67.07698,9.162832737,9.396595001,9.630357265,9.86411953,9.827750206,9.576330947799999
BRA,Brazil,76.0,74.4415,74.8266,75.1095,75.3379,74.0089,74.74488,7.731040001,7.851759911,7.982019901,8.128813955,8.128813955,7.964489544599999
BRB,Barbados,52.0,76.8149,76.936,77.067,77.2569,77.3929,77.09353999999999,9.734617347,9.77397843,9.813339513,9.852700596,9.852700596,9.8054672964
BRN,Brunei Darussalam,96.0,74.7332,74.722,74.7118,74.7483,74.7949,74.74204,9.06,9.1,9.14,9.18,9.18,9.132000000000001
BTN,Bhutan,64.0,70.6022,70.8472,71.1286,71.3909,71.6094,71.11566,3.690095949,4.058239937,4.580629311,5.170262283,5.170262283,4.533897952599999
BWA,Botswana,72.0,65.4644,66.7526,65.4224,65.4636,65.6471,65.75001999999999,10.1,10.18,10.26,10.34,10.34,10.244
CAF,Central African Republic,140.0,53.4601,53.7207,54.3693,55.0253,54.6042,54.23592,4.256,4.282,4.308,4.334,4.334,4.3027999999999995
CAN,Canada,124.0,82.0434,82.0192,82.0508,82.3628,82.0471,82.10466,13.73192024,13.76600456,13.80017348,13.83442722,13.83442722,13.793390544
CHE,Switzerland,756.0,83.4452,83.4125,83.5615,83.7802,83.067,83.45327999999999,13.66668034,13.73318529,13.79969025,13.85966015,13.85966015,13.783775236
CHL,Chile,152.0,80.0794,80.3501,80.1334,80.3263,79.3769,80.05322000000001,10.42321491,10.59051991,10.76136507,10.9349663,10.9349663,10.729006498
CHN,China,159.0,77.2177,77.2476,77.7444,77.968,78.0766,77.65086,7.299972725,7.400021299,7.500069873,7.600118446,7.600118446,7.4800601578
CIV,Côte d'Ivoire,384.0,58.0599,58.4805,58.8494,59.3185,59.0318,58.74802,4.921027531,5.013731346,5.106435161,5.199138977,5.199138977,5.0878943984000005
CMR,Cameroon,120.0,60.2333,60.8103,61.1798,61.5839,60.8328,60.928020000000004,5.983691359,6.039564753,6.095438148,6.151311543,6.151311543,6.084263469199999
COD,Democratic Republic of the Congo,180.0,59.0664,59.4114,59.9417,60.2757,59.7392,59.686879999999995,6.75948,6.889088258,7.018696516,7.018696516,7.018696516,6.9409315612
COG,Congo,178.0,63.5765,63.76,64.0531,62.7467,63.7852,63.584300000000006,6.124,6.138,6.152,6.166,6.166,6.1492
COL,Colombia,170.0,76.4713,76.6456,76.7479,76.7523,74.7692,76.27726,8.221500397,8.362985134,8.504469872,8.643030167,8.862859726,8.5189690592
COM,Comoros,174.0,63.2368,63.6254,63.9117,64.0684,64.1665,63.80176,4.845539248,4.908531258,4.993590129,5.078649,5.078649,4.980991727
CPV,Cabo Verde,132.0,75.7423,76.5928,75.7331,76.0042,74.8077,75.77602,5.973347954,6.076351994,6.181132228,6.287719287,6.287719287,6.16125415
CRI,Costa Rica,188.0,79.4592,79.3769,79.4835,79.4272,79.277,79.40476,8.564390182,8.643780231,8.72317028,8.763615131,8.804059982,8.699803161199998
CUB,Cuba,192.0,77.643,77.5286,77.4962,77.6112,77.5673,77.56926,12.0596942,12.20397456,12.34998107,12.49773438,12.49773438,12.321823718
CYP,Cyprus,196.0,81.0563,81.328,81.382,81.397,81.3905,81.31076,12.08658028,12.18473005,12.28287983,12.36152506,12.44017029,12.271177102
CZE,Czechia,203.0,78.9967,78.9557,79.0039,79.2433,78.5746,78.95484000000002,12.73709011,12.78682041,12.8280654,12.86931038,12.86931038,12.818119336
DEU,Germany,276.0,80.8471,80.9442,81.1717,81.5584,81.1472,81.13372,14.1321497,14.10476494,14.07738018,14.09096691,14.09096691,14.099245728
DJI,Djibouti,262.0,62.1908,62.7966,63.0381,63.0854,62.6943,62.76104,4.07,4.07,4.0,4.1,4.1,4.0680000000000005
