Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FDI","Foreign Direct Investment (FDI)","004","Afghanistan","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","93.59","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","004","Afghanistan","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","53.39","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","004","Afghanistan","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","119.44","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","004","Afghanistan","6110","Value US$","23082","Total FDI inflows","2019","2019","millions","38.533333","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","004","Afghanistan","6110","Value US$","23082","Total FDI inflows","2020","2020","millions","12.970492","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","008","Albania","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","1100.671891","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","008","Albania","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","1148.891224","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","008","Albania","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","1289.690235","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","008","Albania","6110","Value US$","23082","Total FDI inflows","2019","2019","millions","1287.978184","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","008","Albania","6110","Value US$","23082","Total FDI inflows","2020","2020","millions","1106.560092","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","012","Algeria","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","1636.299236","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","012","Algeria","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","1232.341924","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","012","Algeria","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","1466.084654","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","012","Algeria","6110","Value US$","23082","Total FDI inflows","2019","2019","millions","1381.811818","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","012","Algeria","6110","Value US$","23082","Total FDI inflows","2020","2020","millions","1125.414826","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","024","Angola","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","-179.517619","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","024","Angola","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","-7397.295409","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","024","Angola","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","-6456.076413","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","024","Angola","6110","Value US$","23082","Total FDI inflows","2019","2019","millions","-4098.478748","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","024","Angola","6110","Value US$","23082","Total FDI inflows","2020","2020","millions","-1866.468113","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","660","Anguilla","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","60.253704","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","660","Anguilla","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","53.534815","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","660","Anguilla","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","55.784444","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","660","Anguilla","6110","Value US$","23082","Total FDI inflows","2019","2019","millions","125.088889","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","660","Anguilla","6110","Value US$","23082","Total FDI inflows","2020","2020","millions","26.304077","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","028","Antigua and Barbuda","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","80.641481","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","028","Antigua and Barbuda","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","112.936667","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","028","Antigua and Barbuda","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","116.493704","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","028","Antigua and Barbuda","6110","Value US$","23082","Total FDI inflows","2019","2019","millions","139.466667","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","028","Antigua and Barbuda","6110","Value US$","23082","Total FDI inflows","2020","2020","millions","22.367073","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","032","Argentina","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","3260.164342","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","032","Argentina","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","11516.861462","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","032","Argentina","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","11872.856663","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","032","Argentina","6110","Value US$","23082","Total FDI inflows","2019","2019","millions","6663.062112","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","032","Argentina","6110","Value US$","23082","Total FDI inflows","2020","2020","millions","4122.734958","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","051","Armenia","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","333.733314","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","051","Armenia","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","250.93511","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","051","Armenia","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","254.146164","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","051","Armenia","6110","Value US$","23082","Total FDI inflows","2019","2019","millions","254.077252","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","051","Armenia","6110","Value US$","23082","Total FDI inflows","2020","2020","millions","117.296453","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","533","Aruba","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","27.541899","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","533","Aruba","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","87.862279","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","533","Aruba","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","110.17565","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","533","Aruba","6110","Value US$","23082","Total FDI inflows","2019","2019","millions","-133.317939","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","533","Aruba","6110","Value US$","23082","Total FDI inflows","2020","2020","millions","113.710125","X","Figure from international organizations","UNCTAD"
