Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FDI","Foreign Direct Investment (FDI)","004","Afghanistan","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","93.59","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","004","Afghanistan","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","53.39","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","004","Afghanistan","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","119.44","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","004","Afghanistan","6110","Value US$","23082","Total FDI inflows","2019","2019","millions","38.533333","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","004","Afghanistan","6110","Value US$","23082","Total FDI inflows","2020","2020","millions","12.970492","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","004","Afghanistan","6110","Value US$","23085","Total FDI outflows","2016","2016","millions","14.78","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","004","Afghanistan","6110","Value US$","23085","Total FDI outflows","2017","2017","millions","10.8","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","004","Afghanistan","6110","Value US$","23085","Total FDI outflows","2018","2018","millions","40.53","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","004","Afghanistan","6110","Value US$","23085","Total FDI outflows","2019","2019","millions","25.946667","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","004","Afghanistan","6110","Value US$","23085","Total FDI outflows","2020","2020","millions","37.112627","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","008","Albania","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","1100.671891","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","008","Albania","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","1148.891224","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","008","Albania","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","1289.690235","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","008","Albania","6110","Value US$","23082","Total FDI inflows","2019","2019","millions","1287.978184","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","008","Albania","6110","Value US$","23082","Total FDI inflows","2020","2020","millions","1106.560092","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","008","Albania","6110","Value US$","23085","Total FDI outflows","2016","2016","millions","64.200483","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","008","Albania","6110","Value US$","23085","Total FDI outflows","2017","2017","millions","26.197174","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","008","Albania","6110","Value US$","23085","Total FDI outflows","2018","2018","millions","82.56079","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","008","Albania","6110","Value US$","23085","Total FDI outflows","2019","2019","millions","127.855221","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","008","Albania","6110","Value US$","23085","Total FDI outflows","2020","2020","millions","89.433996","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","012","Algeria","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","1636.299236","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","012","Algeria","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","1232.341924","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","012","Algeria","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","1466.084654","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","012","Algeria","6110","Value US$","23082","Total FDI inflows","2019","2019","millions","1381.811818","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","012","Algeria","6110","Value US$","23082","Total FDI inflows","2020","2020","millions","1125.414826","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","012","Algeria","6110","Value US$","23085","Total FDI outflows","2016","2016","millions","46.202384","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","012","Algeria","6110","Value US$","23085","Total FDI outflows","2017","2017","millions","-28.605242","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","012","Algeria","6110","Value US$","23085","Total FDI outflows","2018","2018","millions","845.268059","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","012","Algeria","6110","Value US$","23085","Total FDI outflows","2019","2019","millions","30.989854","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","012","Algeria","6110","Value US$","23085","Total FDI outflows","2020","2020","millions","15.518489","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","024","Angola","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","-179.517619","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","024","Angola","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","-7397.295409","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","024","Angola","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","-6456.076413","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","024","Angola","6110","Value US$","23082","Total FDI inflows","2019","2019","millions","-4098.478748","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","024","Angola","6110","Value US$","23082","Total FDI inflows","2020","2020","millions","-1866.468113","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","024","Angola","6110","Value US$","23085","Total FDI outflows","2016","2016","millions","273.005","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","024","Angola","6110","Value US$","23085","Total FDI outflows","2017","2017","millions","1352.005057","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","024","Angola","6110","Value US$","23085","Total FDI outflows","2018","2018","millions","5.714168","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","024","Angola","6110","Value US$","23085","Total FDI outflows","2019","2019","millions","-2349.425835","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","024","Angola","6110","Value US$","23085","Total FDI outflows","2020","2020","millions","90.514469","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","660","Anguilla","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","60.253704","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","660","Anguilla","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","53.534815","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","660","Anguilla","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","55.784444","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","660","Anguilla","6110","Value US$","23082","Total FDI inflows","2019","2019","millions","125.088889","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","660","Anguilla","6110","Value US$","23082","Total FDI inflows","2020","2020","millions","26.304077","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","660","Anguilla","6110","Value US$","23085","Total FDI outflows","2016","2016","millions","-1.646667","X","Figure from international organizations","UNCTAD"
