Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FDI","Foreign Direct Investment (FDI)","004","Afghanistan","6110","Value US$","23085","Total FDI outflows","2016","2016","millions","14.78","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","004","Afghanistan","6110","Value US$","23085","Total FDI outflows","2017","2017","millions","10.8","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","004","Afghanistan","6110","Value US$","23085","Total FDI outflows","2018","2018","millions","40.53","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","004","Afghanistan","6110","Value US$","23085","Total FDI outflows","2019","2019","millions","25.946667","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","004","Afghanistan","6110","Value US$","23085","Total FDI outflows","2020","2020","millions","37.112627","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","008","Albania","6110","Value US$","23085","Total FDI outflows","2016","2016","millions","64.200483","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","008","Albania","6110","Value US$","23085","Total FDI outflows","2017","2017","millions","26.197174","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","008","Albania","6110","Value US$","23085","Total FDI outflows","2018","2018","millions","82.56079","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","008","Albania","6110","Value US$","23085","Total FDI outflows","2019","2019","millions","127.855221","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","008","Albania","6110","Value US$","23085","Total FDI outflows","2020","2020","millions","89.433996","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","012","Algeria","6110","Value US$","23085","Total FDI outflows","2016","2016","millions","46.202384","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","012","Algeria","6110","Value US$","23085","Total FDI outflows","2017","2017","millions","-28.605242","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","012","Algeria","6110","Value US$","23085","Total FDI outflows","2018","2018","millions","845.268059","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","012","Algeria","6110","Value US$","23085","Total FDI outflows","2019","2019","millions","30.989854","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","012","Algeria","6110","Value US$","23085","Total FDI outflows","2020","2020","millions","15.518489","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","024","Angola","6110","Value US$","23085","Total FDI outflows","2016","2016","millions","273.005","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","024","Angola","6110","Value US$","23085","Total FDI outflows","2017","2017","millions","1352.005057","X","Figure from international organizations","UNCTAD"
