,ISO3_Code,Country_Name,M49_Code,Life_Expectancy_2016,Life_Expectancy_2017,Life_Expectancy_2018,Life_Expectancy_2019,Life_Expectancy_2020,Life_Expectancy_Avg,Mean_Years_Of_Schooling_2016,Mean_Years_Of_Schooling_2017,Mean_Years_Of_Schooling_2018,Mean_Years_Of_Schooling_2019,Mean_Years_Of_Schooling_2020,Mean_Years_of_Schooling_Avg,CPI_Food_2016,CPI_Food_2017,CPI_Food_2018,CPI_Food_2019,CPI_Food_2020,CPI_Food_Avg,Total_FDI_Inflows_2016,Total_FDI_Inflows_2017,Total_FDI_Inflows_2018,Total_FDI_Inflows_2019,Total_FDI_Inflows_2020,Total_FDI_Outflows_2016,Total_FDI_Outflows_2017,Total_FDI_Outflows_2018,Total_FDI_Outflows_2019,Total_FDI_Outflows_2020,Net_FDI_2016,Net_FDI_2017,Net_FDI_2018,Net_FDI_2019,Net_FDI_2020,Prevalence_of_undernourishment_2016,Prevalence_of_undernourishment_2017,Prevalence_of_undernourishment_2018,Prevalence_of_undernourishment_2019,Prevalence_of_undernourishment_2020
0,AFG,Afghanistan,4,63.1361,63.016,63.081,63.5645,62.5751,63.07454,2.463660385,2.561424686,2.659188987,2.756953288,2.854717589,2.659188987,108.916832,113.832502,113.490296,119.067918,128.002089,116.6619274,93.59,53.39,119.44,38.533333,12.970492,14.78,10.8,40.53,25.946667,37.112627,78.81,42.59,78.91,12.586666,-24.142135,22.2,23.0,24.0,26.9,29.8
1,AGO,Angola,24,61.0923,61.6798,62.1438,62.4484,62.2612,61.9251,5.417390823,5.417390823,5.417390823,5.417390823,5.417390823,5.417390823,154.136774,183.757815,211.993524,252.263872,330.372845,226.504965999999,-179.517619,-7397.295409,-6456.076413,-4098.478748,-1866.468113,273.005,1352.005057,5.714168,-2349.425835,90.514469,-452.522619,-8749.300466,-6461.790581,-1749.052913,-1956.982582,15.4,15.4,15.7,17.9,20.8
2,ALB,Albania,8,78.8602,79.0473,79.1838,79.2825,76.9893,78.67262,10.72752833,10.91069206,11.09698316,11.28645502,11.28645502,11.0616227179999,104.588667,107.497139,110.638289,113.430423,116.338895,110.4986826,1100.671891,1148.891224,1289.690235,1287.978184,1106.560092,64.200483,26.197174,82.56079,127.855221,89.433996,1036.471408,1122.69405,1207.129445,1160.122963,1017.126096,4.7,4.7,4.6,4.3,3.9
3,ARE,United Arab Emirates,784,79.3347,79.5036,79.6274,79.7262,78.9457,79.42752,10.8426199,12.05539989,12.48400021,12.69402981,12.69402981,12.154015924,100.998062,104.268174,105.564297,104.435251,108.084044,104.6699656,9604.773,10354.223,10385.286,17874.6594,19884.46867,15711.4,14059.946,15079.292,21226.15804,18937.3297,-6106.627,-3705.723,-4694.006,-3351.498637,947.138965,6.3,6.4,6.2,6.0,5.6
4,ARG,Argentina,32,76.3077,76.833,76.9994,77.2845,75.8921,76.6633399999999,10.92819023,11.01644516,11.10470009,11.14726927,11.14726927,11.068774804,119.206012,143.476356,216.878531,340.091177,483.12659,260.5557332,3260.164342,11516.86146,11872.85666,6663.062112,4122.734958,1786.530935,1155.630218,1802.220667,1539.216163,1234.012059,1473.633407,10361.23124,10070.636,5123.845949,2888.722899,2.6,3.1,3.4,3.5,3.7
5,ARM,Armenia,51,74.6639,74.9059,75.0645,75.4386,72.173,74.44918,11.37989998,11.18758965,11.23515987,11.2827301,11.33030033,11.283135986,98.137571,103.525785,105.20448,104.877866,110.065339,104.362208199999,333.733314,250.93511,254.146164,254.077252,117.296453,70.519382,29.056824,7.012506,-142.555366,-27.278869,263.213932,221.878286,247.133658,396.632618,144.575322,2.7,2.8,2.9,3.1,3.5
6,AUS,Australia,36,82.8707,83.0006,83.3871,83.11,84.3239,83.33846,12.35210991,12.42234039,12.55362034,12.65668964,12.72681999,12.542316054,102.0419,101.84973,103.387085,106.077455,108.479571,104.3671482,48401.36484,45225.17551,68477.41951,39224.001,20146.10295,2304.472908,6355.958184,7799.541546,9265.856892,9171.521281,46096.89194,38869.21733,60677.87796,29958.1441,10974.58167,1.5,1.5,1.5,1.5,1.5
7,AUT,Austria,40,81.5925,81.6391,81.6862,81.9077,81.5036,81.66582,12.11466026,12.15911961,12.20790482,12.25669003,12.25669003,12.19901295,101.1,104.3,105.1,106.0,109.0723,105.11446,-8508.306429,14953.06209,5287.327675,967.544649,-17339.68699,-2033.498539,10251.11358,5611.767314,10894.37232,-3213.226951,-6474.80789,4701.948504,-324.439639,-9926.827669,-14126.46004,1.5,1.5,1.5,1.5,1.5
8,AZE,Azerbaijan,31,72.0039,72.2478,72.7601,73.1023,66.8679,71.3964,10.55539989,10.54459953,10.54176044,10.5429697,10.5429697,10.545539852,124.781488,137.525291,137.288192,142.912168,148.740532,138.2495342,4500.0,2867.0,1403.0,1503.9,507.1,2574.0,2564.0,1761.0,2431.7,825.3,1926.0,303.0,-358.0,-927.8,-318.2,1.5,1.5,1.5,1.5,1.5
9,BEL,Belgium,56,81.2661,81.3618,81.4787,81.8311,80.7884,81.34522,11.98532009,12.23692989,12.30630493,12.37567997,12.37567997,12.25598297,102.1507,104.2831,105.8205,106.2867,108.0026,105.30872,59242.65569,-708.306504,30820.57508,2886.006117,8437.406483,36374.00102,29698.03775,39498.23565,1580.698463,10227.2286,22868.65467,-30406.34426,-8677.660575,1305.307654,-1789.822114,1.5,1.5,1.5,1.5,1.5
